asset_id,event_id,event_label,event_start,event_start_id,event_end,event_end_id,event_description,farm,event_duration_hours,event_id_int
11,68,anomaly,2023-07-28 13:20:00,52063,2023-08-11 13:10:00,54076,Transformer failure,Wind Farm A,335.8333333333333,68
21,22,anomaly,2023-08-12 09:50:00,51888,2023-08-19 10:00:00,52892,Hydraulic group,Wind Farm A,168.16666666666666,22
21,72,anomaly,2023-10-10 08:40:00,52497,2023-10-17 08:40:00,53505,Gearbox failure,Wind Farm A,168.0,72
0,73,anomaly,2023-06-10 11:40:00,52745,2023-06-17 11:40:00,53753,Hydraulic group,Wind Farm A,168.0,73
0,0,anomaly,2023-08-06 06:10:00,52436,2023-08-20 06:10:00,54447,Generator bearing failure,Wind Farm A,336.0,0
0,26,anomaly,2023-10-12 10:20:00,52261,2023-10-19 10:20:00,53269,Hydraulic group,Wind Farm A,168.0,26
10,40,anomaly,2022-12-26 00:00:00,51363,2023-01-26 13:00:00,55870,Generator bearing failure,Wind Farm A,757.0,40
10,42,anomaly,2023-09-09 15:50:00,52303,2023-09-16 15:50:00,53309,Hydraulic group,Wind Farm A,168.0,42
10,10,anomaly,2023-10-11 08:40:00,52611,2023-10-18 08:40:00,53591,Gearbox failure,Wind Farm A,168.0,10
13,45,anomaly,2023-04-19 18:10:00,52731,2023-04-26 18:10:00,53738,Hydraulic group,Wind Farm A,168.0,45
13,84,anomaly,2023-09-05 15:30:00,52623,2023-09-12 15:30:00,53627,Hydraulic group,Wind Farm A,168.0,84
11,25,normal,2023-05-23 06:50:00,52289,2023-06-05 02:30:00,54135,,Wind Farm A,307.6666666666667,25
11,69,normal,2023-09-04 00:50:00,52364,2023-09-18 00:50:00,54380,,Wind Farm A,336.0,69
21,13,normal,2023-05-03 13:20:00,50859,2023-05-24 10:20:00,53865,,Wind Farm A,501.0,13
0,24,normal,2023-04-27 15:00:00,52720,2023-05-11 11:20:00,54714,,Wind Farm A,332.3333333333333,24
10,3,normal,2023-04-27 03:00:00,52185,2023-05-18 01:10:00,55198,,Wind Farm A,502.1666666666667,3
