sensor_name,statistics_type,description,unit,is_angle,is_counter,is_angle_bool,is_counter_bool,farm
sensor_0,average,Ambient temperature,�C,False,False,False,False,Wind Farm A
sensor_1,average,Wind absolute direction,�,True,False,True,False,Wind Farm A
sensor_2,average,Wind relative direction,�,True,False,True,False,Wind Farm A
wind_speed_3,"maximum,minimum,average,std_dev",Windspeed,m/s,False,False,False,False,Wind Farm A
wind_speed_4,average,Estimated windspeed,m/s,False,False,False,False,Wind Farm A
sensor_5,"maximum,minimum,std_dev,average",Pitch angle,�,True,False,True,False,Wind Farm A
sensor_6,average,Temperature in the hub controller,�C,False,False,False,False,Wind Farm A
sensor_7,average,Temperature in the top nacelle controller,�C,False,False,False,False,Wind Farm A
sensor_8,average,Temperature in the choke coils on the VCS-section,�C,False,False,False,False,Wind Farm A
sensor_9,average,Temperature on the VCP-board,�C,False,False,False,False,Wind Farm A
sensor_10,average,Temperature in the VCS cooling water,�C,False,False,False,False,Wind Farm A
sensor_11,average,Temperature in gearbox bearing on high speed shaft,�C,False,False,False,False,Wind Farm A
sensor_12,average,Temperature oil in gearbox,�C,False,False,False,False,Wind Farm A
sensor_13,average,Temperature in generator bearing 2 (Drive End),�C,False,False,False,False,Wind Farm A
sensor_14,average,Temperature in generator bearing 1 (Non-Drive End),�C,False,False,False,False,Wind Farm A
sensor_15,average,Temperature inside generator in stator windings phase 1,�C,False,False,False,False,Wind Farm A
sensor_16,average,Temperature inside generator in stator windings phase 2,�C,False,False,False,False,Wind Farm A
sensor_17,average,Temperature inside generator in stator windings phase 3,�C,False,False,False,False,Wind Farm A
sensor_18,"maximum,minimum,average,std_dev",Generator rpm in latest period,rpm,False,False,False,False,Wind Farm A
sensor_19,average,Temperature in the split ring chamber,�C,False,False,False,False,Wind Farm A
sensor_20,average,Temperature in the busbar section,�C,False,False,False,False,Wind Farm A
sensor_21,average,Temperature measured by the IGBT-driver on the grid side inverter,�C,False,False,False,False,Wind Farm A
sensor_22,average,Actual phase displacement,,False,False,False,False,Wind Farm A
sensor_23,average,Averaged current in phase 1,A,False,False,False,False,Wind Farm A
sensor_24,average,Averaged current in phase 2,A,False,False,False,False,Wind Farm A
sensor_25,average,Averaged current in phase 3,A,False,False,False,False,Wind Farm A
sensor_26,average,Grid frequency,Hz,False,False,False,False,Wind Farm A
reactive_power_27,"average,maximum,minimum,std_dev",Possible grid capacitive reactive power,kVAr,False,False,False,False,Wind Farm A
reactive_power_28,"average,maximum,minimum,std_dev",Possible grid inductive reactive power,kVAr,False,False,False,False,Wind Farm A
power_29,"maximum,std_dev,average,minimum",Possible grid active power,kW,False,False,False,False,Wind Farm A
power_30,"maximum,std_dev,minimum,average",Grid power,kW,False,False,False,False,Wind Farm A
sensor_31,"average,maximum,minimum,std_dev",Grid reactive power,kVAr,False,False,False,False,Wind Farm A
sensor_32,average,Averaged voltage in phase 1,V,False,False,False,False,Wind Farm A
sensor_33,average,Averaged voltage in phase 2,V,False,False,False,False,Wind Farm A
sensor_34,average,Averaged voltage in phase 3,V,False,False,False,False,Wind Farm A
sensor_35,average,Temperature measured by the IGBT-driver on the rotor side inverter phase1,�C,False,False,False,False,Wind Farm A
