feature,sensor_0_avg,wind_speed_3_avg,wind_speed_4_avg,wind_speed_3_max,wind_speed_3_min,wind_speed_3_std,sensor_6_avg,sensor_7_avg,sensor_8_avg,sensor_9_avg,sensor_10_avg,sensor_11_avg,sensor_12_avg,sensor_13_avg,sensor_14_avg,sensor_15_avg,sensor_16_avg,sensor_17_avg,sensor_18_avg,sensor_18_max,sensor_18_min,sensor_18_std,sensor_19_avg,sensor_20_avg,sensor_21_avg,sensor_22_avg,sensor_23_avg,sensor_24_avg,sensor_25_avg,sensor_26_avg,reactive_power_27_avg,reactive_power_27_max,reactive_power_27_min,reactive_power_27_std,reactive_power_28_avg,reactive_power_28_max,reactive_power_28_min,reactive_power_28_std,power_29_avg,power_29_max,power_29_min,power_29_std,power_30_avg,power_30_max,power_30_min,power_30_std,sensor_31_avg,sensor_31_max,sensor_31_min,sensor_31_std,sensor_32_avg,sensor_33_avg,sensor_34_avg,sensor_35_avg,sensor_36_avg,sensor_37_avg,sensor_38_avg,sensor_39_avg,sensor_40_avg,sensor_41_avg,sensor_43_avg,sensor_44,sensor_45,sensor_46,sensor_47,sensor_48,sensor_49,sensor_50,sensor_51,sensor_52_avg,sensor_52_max,sensor_52_min,sensor_52_std,sensor_53_avg,sensor_1_avg_sin,sensor_1_avg_cos,sensor_2_avg_sin,sensor_2_avg_cos,sensor_5_avg_sin,sensor_5_avg_cos,sensor_5_max_sin,sensor_5_max_cos,sensor_5_min_sin,sensor_5_min_cos,sensor_5_std_sin,sensor_5_std_cos,sensor_42_avg_sin,sensor_42_avg_cos,yaw_misalignment_abs,label
sensor_0_avg,1.0,0.1821765951297794,0.165849200523402,0.14677720780820477,0.20733804681429707,0.16973535269994156,0.9338733945399472,0.6949655150301437,0.216115052107789,0.686078760590758,0.5903764427800604,0.2828273211476147,0.29199867108988625,0.45465570394669724,0.4040484776861343,0.2909163403385818,0.29640014769193024,0.29388746512922054,0.1474020254705571,0.16476891219224693,0.0975039753308682,0.10871417935537366,0.7431525100406255,0.5517953352505247,0.4685551809723923,0.020918513874498137,0.16938014573498048,0.1655914500077884,0.16760117335361094,0.016110200960182737,0.08109625927439018,0.1310544750971085,0.05207455580394303,0.14095527977263894,-0.08604263840006122,-0.05800052689575154,-0.14491111925317104,0.13445688376060552,0.17188197718919004,0.18215515466689502,0.1260422796059965,0.15304593894268906,0.10203190842522863,0.1212150948563906,0.05117207202074008,0.16534760047674854,-0.16244167304473908,-0.11712627025606683,-0.13970450724758213,0.07322703097084314,0.01227910277012294,0.03380415822428334,0.19247554860834598,0.43381897016861076,0.43363591573929894,0.43294258544346065,0.2766709372212682,0.311917330429216,0.34945067233561744,0.5628533203736042,0.8780490087943799,0.050818068229976386,0.13991392878032502,,0.023034228565755252,-0.12687250006814763,,0.10198012308119886,-0.16246270454018594,0.1467556801635813,0.1638404075610286,0.1029123798149549,0.0845053433102246,0.9537875753622835,0.11378391114084793,-0.12460717929871662,0.0024267933731564155,0.09473490762038962,-0.06779622057321563,0.07954737034584193,-0.029085759222199623,0.04545621325185123,-0.11927140409079125,0.06507212520541486,0.16168488588488453,-0.16168488588488453,0.12144595952899298,-0.14672567399224878,-0.09473492705400641,0.20747876720131445
wind_speed_3_avg,0.1821765951297794,1.0,0.9978791814351601,0.9117403350148,0.790172836486323,0.9055361289159192,0.20597835997579578,0.6631036555929261,0.8232464789465491,0.6651404727598181,0.6806471981082025,0.893244674659325,0.8245775173093817,0.8079279477310488,0.8101543997903639,0.8868954032231597,0.8848143881457144,0.8836078260654815,0.9187123626589557,0.9093165763969777,0.876967044751265,0.2494815609311936,0.6943204363322507,0.7830010311315215,0.7902584908714178,0.6743646961104658,0.9272645035775169,0.9272172372205537,0.9265513903565274,0.000997946948041826,0.6225370155079923,0.6340582704364358,0.699779374765503,0.33347012121706193,-0.679621559095625,-0.7424949235808301,-0.7107743802143418,0.26289655859329464,0.9954443780325857,0.9797693129708062,0.9494510150625746,0.7149346913502941,0.9088434009336608,0.8988693412518519,0.8420524538768497,0.6998458031290002,-0.9016784898580458,-0.8180317082788904,-0.7052257849323952,0.08412466925900823,0.08646424455817373,-0.1425583668550001,0.6057214959718907,0.830720482061533,0.8200525194317548,0.8079635949968254,0.5663907412434221,0.6525676682049851,0.6331795760487692,0.32670300686760806,0.45051013130946,0.7275127028187145,0.9282914917590607,,0.6504460148443797,-0.9018640192412908,,0.9088094362535518,-0.9016595381540874,0.917413260055556,0.9079544326696865,0.8877212762803885,0.18678915281183914,0.15948232134077175,0.410603443773933,-0.16170851078338155,-0.020643978975149895,0.3657912119069086,-0.5416190352025136,0.38834386860389225,-0.4663388878877029,0.421889146887569,-0.5965392142286114,0.3005223841886062,0.48439465792214687,-0.48439465792214687,0.43901713432280337,-0.22346298645469378,-0.36579121149685595,0.01602192156140242
wind_speed_4_avg,0.165849200523402,0.9978791814351601,1.0,0.9117294944110664,0.7858157400380923,0.9066860790638152,0.1923958881211422,0.6538899063924426,0.8251659034736006,0.6540619567666849,0.6737116548164401,0.8923002048675878,0.8235119074590468,0.8024047302456517,0.8048188977220363,0.8836636331689479,0.8821010709659873,0.8804589694724041,0.9186062072696866,0.9095187113179937,0.8763485956040888,0.25048031681692096,0.6842701949517578,0.7774507292517114,0.7862460766995523,0.6738840812843921,0.9288864800348945,0.9289526187655764,0.9282628410805125,0.0009185943569553004,0.6237762716406747,0.6357129353217217,0.7008784608206424,0.33516297189408273,-0.6808206410226034,-0.743708463968485,-0.7125010290623696,0.2644902232417289,0.9971883227341146,0.9818647218737291,0.9512745415521393,0.7170608545812349,0.9098212297768001,0.9000752293139228,0.8434054673067135,0.7021467306818721,-0.9041842854635878,-0.8207088895091098,-0.7059912671314467,0.08453675768191846,0.0809095213852025,-0.1492095701827101,0.599724326030309,0.8271933077277974,0.8145215592057585,0.8027498211135706,0.5569649118042955,0.6428510899902612,0.6236170569991654,0.3130942700581354,0.4351590448507609,0.7294153941830478,0.9296547617016647,,0.6516249011777677,-0.9039444600873604,,0.9097400673982626,-0.904148447755596,0.9173393028275998,0.908141779290926,0.8872380964094013,0.18769213505753127,0.14527807873201518,0.40618732685401643,-0.16106790862274145,-0.019773173158806095,0.363715138701855,-0.5422517275983898,0.39225286599158615,-0.4677128176797247,0.4243557365854094,-0.5967932196217843,0.3026442486472291,0.48557619047382206,-0.48557619047382206,0.4350046576336351,-0.22254089404760605,-0.3637151404580657,0.010386527837074975
wind_speed_3_max,0.14677720780820477,0.9117403350148,0.9117294944110664,1.0,0.5954250137530396,0.943689076312507,0.19557302365813542,0.5900054259017923,0.7561558638299247,0.6076108722829436,0.6222845093431424,0.8310763870697863,0.7620650099000145,0.7577205153907317,0.7460911166120369,0.8303253680881304,0.828454960341102,0.8257224513809959,0.8472878431933976,0.858187849620342,0.7795873551555752,0.29376358098159133,0.6324933966055822,0.7140440776773509,0.7249011875121592,0.6399022886202219,0.8581562142852461,0.8567212004640813,0.8569363788759966,0.00420415237384547,0.5610808171305346,0.6068413464413024,0.6022330790721803,0.37320692936768435,-0.6137792495148078,-0.6452600813764472,-0.6769810056591717,0.30333882204119383,0.915072541119763,0.9239722410437469,0.8452476708940329,0.6990143883857405,0.8501235936621967,0.8583750617859051,0.75168727137324,0.6900161786100969,-0.8400277977213332,-0.7448741154194941,-0.663726669318123,0.10484204673619701,0.07109223764343575,-0.12397223616590766,0.5587657025558725,0.7475989470636372,0.7468052369884205,0.7496283480108825,0.53659107991679,0.6248599400435766,0.6095949425707726,0.25936457857310996,0.38410310118939595,0.667563394405714,0.8644948190508811,,0.598610792310164,-0.8459193770620984,,0.850087164137762,-0.8399812000178235,0.8471037983487352,0.8580402475150133,0.7940159772831171,0.2226435324977252,0.14906610489767164,0.33180666849879314,-0.16482091455022377,-0.045687517192386534,0.26572937685963915,-0.4877341420761205,0.37527844645439995,-0.3961708526893599,0.37572318807378824,-0.5820258833259626,0.27168334848952796,0.508770754218299,-0.508770754218299,0.35226988184562946,-0.2146033523047249,-0.26572936113612,-0.01468788760786277
wind_speed_3_min,0.20733804681429707,0.790172836486323,0.7858157400380923,0.5954250137530396,1.0,0.5525845257056111,0.17845689413664498,0.5765967157998878,0.6668812724646758,0.5511107121627427,0.5516573324964986,0.6960636688868248,0.663033826038549,0.6234784495353892,0.6367184185033414,0.6795172806656834,0.6800313591409778,0.6804145828462519,0.7155696772641058,0.6695331900610985,0.7234094794389812,0.10023485925028566,0.5654012109269511,0.6382002671077587,0.6302632976928952,0.5252013820541555,0.7208121700306129,0.7234036414790711,0.7208852232523482,-0.006185336359116686,0.5728777981855868,0.501508851311784,0.6717252308328027,0.13096611904762356,-0.6074041032206285,-0.6900402376328164,-0.559294480820974,0.08575022206915077,0.7767439046806983,0.729590509717864,0.7967868378227267,0.48729111624873095,0.6980618716350702,0.6536443579336327,0.7131807286637456,0.48105083823238537,-0.7002368847234232,-0.6666736721294491,-0.5001621445172801,0.026537612911290382,0.0462765811378101,-0.15225807427198423,0.44133089968529077,0.677944912525515,0.6489035454807363,0.6225425021177771,0.3962188102862534,0.45262094232778405,0.44458086942246533,0.2946456615480213,0.41528670265690243,0.6267149932192357,0.7165058663998511,,0.5592248779824703,-0.6930468296573046,,0.6980070454785792,-0.7002457383227615,0.7124089686978664,0.6676000129169324,0.7290497141245094,0.059740893326916865,0.15009654118783222,0.40874720005324394,-0.10383644075295548,-6.460398496331817e-05,0.3788829615232535,-0.5056360227022005,0.3023424520612169,-0.5030683749991958,0.4319794752649602,-0.4421858265114914,0.23302482247660725,0.22438923889650061,-0.22438923889650061,0.4309490281146539,-0.14793242517644323,-0.3788829718745136,0.0567325610188302
wind_speed_3_std,0.16973535269994156,0.9055361289159192,0.9066860790638152,0.943689076312507,0.5525845257056111,1.0,0.21866903686601627,0.5959062107452044,0.738210139810839,0.6116979066162785,0.6226989199574112,0.81669940001974,0.745369494223835,0.7498198353329226,0.7479351259852398,0.8203323022502675,0.817244550911463,0.8161194375091289,0.8303867646393559,0.8644427825256902,0.7339402077422621,0.351458414774724,0.6473903057662503,0.7154959447471575,0.719932225594281,0.6022353118159715,0.8452602197776861,0.8436191295960447,0.8437144598852973,0.0058441973440070275,0.5072842502075172,0.5925193643962633,0.5297238001307708,0.43175672827863537,-0.56125910737737,-0.5765569846751936,-0.665128441728231,0.36359518168243704,0.9142270056812913,0.9396557068021951,0.811338690505609,0.7326997735872296,0.834254686150762,0.8594046474081184,0.7032916299752537,0.7085058883291443,-0.8294636955325608,-0.7175454761328771,-0.6780822483550968,0.12864968795101656,0.09258215176050184,-0.10471640850123315,0.5830749893634453,0.7481298223768316,0.7494108693943263,0.743712277627876,0.5503510896485077,0.6316262334333406,0.6101803585202495,0.30252243752631985,0.4154066816349345,0.6209697303310449,0.8499792957472991,,0.5533869323462157,-0.8327255054723044,,0.834211437742205,-0.8294043059728234,0.829833677122163,0.8638611489418886,0.7484214556520993,0.27924447429813654,0.17671181669108693,0.3117769672869384,-0.18834402544706288,-0.03732707843461288,0.24996939028068454,-0.42961218415432134,0.3591075315112731,-0.31710668059498065,0.3182783159272109,-0.5732632846836073,0.26248776229081433,0.5817437621816004,-0.5817437621816004,0.33513707762014894,-0.24502590031226978,-0.24996937828990634,-0.004567016896658551
sensor_6_avg,0.9338733945399472,0.20597835997579578,0.1923958881211422,0.19557302365813542,0.17845689413664498,0.21866903686601627,1.0,0.6860423518810962,0.2590970148080467,0.6874114380090683,0.6008452647303691,0.31981476986158,0.3224731370207283,0.48361022700357925,0.43227454296610524,0.33591530572707184,0.33971048954143107,0.3383485165931939,0.1952590740234375,0.21550047771488454,0.13752233807119002,0.16329238554800216,0.7342454646244031,0.5645947870274253,0.485782305450488,0.03904046702031657,0.21587965407340484,0.21165741567440002,0.2144918455940054,0.01542234496816514,0.13231950491009684,0.19681693211314702,0.08203766019032262,0.20891683284135587,-0.13404931077817214,-0.08606148192376815,-0.20967576622554304,0.20087667548157995,0.19776261749973195,0.21124552612013442,0.13449238516858555,0.19902574471964457,0.14263572304136746,0.16765977255459083,0.07025360707177158,0.23041738494419986,-0.20514005429831994,-0.14042809233286735,-0.18445309798724968,0.12295469281507573,0.0028617440782691076,0.01684763585111502,0.18864676680063214,0.45506999079733096,0.4606516112399956,0.47118542510047706,0.3160253311712014,0.3436320931130557,0.3723640152399922,0.5487259599877251,0.839688514221218,0.10475747608915356,0.18496739719709093,,0.07098037179349588,-0.1679196425692786,,0.14260643412324747,-0.20509120444994505,0.1938961801017885,0.21427859394457416,0.14076470832710272,0.14050851106838447,0.9786220340480105,0.03406042072255156,-0.12386969975521286,1.0751507680013798e-05,0.09916947667867092,-0.12303168147619202,0.14905683438359288,-0.0774424585730772,0.10601184876603048,-0.17702821242146594,0.12067757019596005,0.22078734447301598,-0.22078734447301598,0.046203007090860206,-0.15356693540336785,-0.09916948904614142,0.15968333783296115
sensor_7_avg,0.6949655150301437,0.6631036555929261,0.6538899063924426,0.5900054259017923,0.5765967157998878,0.5959062107452044,0.6860423518810962,1.0,0.7675424062932332,0.9432175076745459,0.8488269461582043,0.7746565585675131,0.7559204205743373,0.859524355626707,0.846723688583805,0.7978444130097153,0.805331680514358,0.8044464086410166,0.6548664211580785,0.6580348317206454,0.6041295929372884,0.2123263118742558,0.9414864018111402,0.9479564434453734,0.8268014566841656,0.3958431755869812,0.6798010229934601,0.6775379735607883,0.6778853451718982,0.0010984155997055462,0.4065954855438194,0.44984736982796386,0.44058486225290866,0.30525744797906224,-0.44515923802274093,-0.47151090508480126,-0.5085964489918204,0.2625259501810665,0.6558001023397795,0.6500654687397079,0.6134581090235708,0.46030104132945227,0.5968420687690436,0.604095414940425,0.5259629738887603,0.5054126030887311,-0.6669655712931885,-0.5845340261491048,-0.5333186367103007,0.0814593974285819,0.04244789357340055,-0.07638412701562247,0.45822972695047626,0.8253511045377723,0.8102677649669652,0.7958841244378514,0.5062857254839938,0.5921847049881512,0.6036121086270393,0.5836883429876965,0.8749658886707689,0.44444207269339214,0.6502150909887683,,0.37762154622829125,-0.6328028724270395,,0.5968417738504112,-0.666954439763564,0.6542483772719377,0.6567973180499045,0.6093398367046102,0.1701526487413429,0.6495922686818081,0.3213932886324537,-0.14027256965695659,-0.013930462280600197,0.2819108246630623,-0.36441219356009186,0.30580855674934637,-0.29612995074473275,0.2832234285101913,-0.42863319612357287,0.2621819268209022,0.42184522403583563,-0.42184522403583563,0.33677366417922555,-0.18582567326807317,-0.28191084363052515,0.11115957615711776
sensor_8_avg,0.216115052107789,0.8232464789465491,0.8251659034736006,0.7561558638299247,0.6668812724646758,0.738210139810839,0.2590970148080467,0.7675424062932332,1.0,0.7178997612830562,0.7219012293849739,0.881428981844698,0.8303131031061232,0.8671438512495158,0.8585364021811389,0.9187781680575344,0.9240560730486173,0.9222806096634096,0.8647907506538324,0.8477288959299015,0.8336531105295549,0.24077637344002226,0.7163048950733367,0.8649478368855598,0.8045015795415742,0.5623905000525923,0.8771861546888892,0.877124860851149,0.8759246707014949,-0.00046893345267702666,0.6008254792983942,0.63472182785065,0.6461959286019617,0.40518717601510756,-0.6443654450959548,-0.6788875357431519,-0.7051511959976259,0.35130274147715335,0.8237830843025007,0.8079922745522221,0.7904282779803304,0.5885341135036017,0.8266744541510725,0.8217981461794178,0.752564161466268,0.6605517379984358,-0.8596312322321874,-0.7526444980758613,-0.6791642907782555,0.13379488919618304,0.005956532148807971,-0.17571162106853289,0.47757389044506166,0.8345483351785296,0.7924260096598591,0.7810819120716149,0.5115668134356185,0.5961423312354907,0.5904756197134423,0.3093488954632446,0.5050694479791937,0.6968193327831654,0.8662462606732031,,0.6124244610984916,-0.8471239429713406,,0.8267050317707396,-0.8596517284250248,0.8662242164070029,0.8481993771006329,0.8378809259158807,0.20162628695664409,0.1985142690948541,0.3486331099037965,-0.11628571533251102,-0.017334270944077104,0.3508678466269268,-0.549848041341219,0.48832352407866597,-0.4885572422272952,0.46827303477091586,-0.5810960289580925,0.41993047557221497,0.5246824630914252,-0.5246824630914252,0.37389315188058464,-0.1683144863032367,-0.3508678530423273,-0.010202136914475853
sensor_9_avg,0.686078760590758,0.6651404727598181,0.6540619567666849,0.6076108722829436,0.5511107121627427,0.6116979066162785,0.6874114380090683,0.9432175076745459,0.7178997612830562,1.0,0.8456548016011726,0.7775168423811067,0.7506769586980725,0.8317830146567508,0.8156971900281642,0.7933475376700869,0.7967642388523467,0.7966570428637257,0.6606699453829431,0.6629729191423003,0.6060878980595749,0.2367709435410724,0.9014087195684355,0.9373796514381169,0.8263862423918796,0.41141323776081434,0.6772471308340984,0.6739712232541183,0.675055042205231,0.0023649900595853826,0.44340185124974973,0.48812572232090073,0.460068418334062,0.3284010694042859,-0.47713968730506956,-0.4872746358220425,-0.5431518937497471,0.28554703338951626,0.6563614683086356,0.6535561019646174,0.6046048383398036,0.4908283232367119,0.6110339452879971,0.6202608305346613,0.5314261872484423,0.5294767641910588,-0.6644629496779334,-0.5712158480043796,-0.5330429063029586,0.11321346591685744,0.052578617710645384,-0.07817520258589533,0.4779510932393009,0.8119037827998239,0.8219169397740447,0.8011332229880422,0.5249984780170841,0.6124982937320151,0.601689381529802,0.5240546100971646,0.8274112097910753,0.4835972071010813,0.6558127729640487,,0.4180051017562124,-0.6398773636454334,,0.6110609137103765,-0.6644975734565604,0.6593944447862484,0.6621973642452581,0.6110064060038992,0.1942067817880848,0.6489163406722885,0.2847464359852159,-0.1542550839238122,-0.01336002867744857,0.27874086988434277,-0.4012091121437611,0.3376652761788291,-0.3280558273108408,0.3177340832577707,-0.4607217359978205,0.28262361042227935,0.4327868570577205,-0.4327868570577205,0.2991643691499273,-0.20330609698280977,-0.2787408851754544,0.0882502982269163
