feature,mean_pb_r,median_pb_r,std_pb_r,min_pb_r,max_pb_r,mean_abs_pb_r,median_abs_pb_r,pb_sign_consistency,pb_significant_count,pb_significant_ratio,dataset_count,mean_sp_rho,median_sp_rho,std_sp_rho,min_sp_rho,max_sp_rho,mean_abs_sp_rho,median_abs_sp_rho,sp_sign_consistency,sp_significant_count,sp_significant_ratio
sensor_0_avg,0.19642985524391413,0.19642985524391413,0.0,0.19642985524391413,0.19642985524391413,0.19642985524391413,0.19642985524391413,1.0,1,1.0,1,0.20969246099688707,0.20969246099688707,0.0,0.20969246099688707,0.20969246099688707,0.20969246099688707,0.20969246099688707,1.0,1,1.0
sensor_5_avg_cos,-0.18453352425469727,-0.18453352425469727,0.0,-0.18453352425469727,-0.18453352425469727,0.18453352425469727,0.18453352425469727,1.0,1,1.0,1,-0.07670339556228076,-0.07670339556228076,0.0,-0.07670339556228076,-0.07670339556228076,0.07670339556228076,0.07670339556228076,1.0,1,1.0
sensor_5_min_cos,-0.18310880365996254,-0.18310880365996254,0.0,-0.18310880365996254,-0.18310880365996254,0.18310880365996254,0.18310880365996254,1.0,1,1.0,1,-0.0531775099717553,-0.0531775099717553,0.0,-0.0531775099717553,-0.0531775099717553,0.0531775099717553,0.0531775099717553,1.0,1,1.0
sensor_41_avg,0.16269303600551913,0.16269303600551913,0.0,0.16269303600551913,0.16269303600551913,0.16269303600551913,0.16269303600551913,1.0,1,1.0,1,0.1665444595522959,0.1665444595522959,0.0,0.1665444595522959,0.1665444595522959,0.1665444595522959,0.1665444595522959,1.0,1,1.0
sensor_5_max_cos,-0.15689336629918613,-0.15689336629918613,0.0,-0.15689336629918613,-0.15689336629918613,0.15689336629918613,0.15689336629918613,1.0,1,1.0,1,-0.07825430976262625,-0.07825430976262625,0.0,-0.07825430976262625,-0.07825430976262625,0.07825430976262625,0.07825430976262625,1.0,1,1.0
sensor_19_avg,0.13498399142100898,0.13498399142100898,0.0,0.13498399142100898,0.13498399142100898,0.13498399142100898,0.13498399142100898,1.0,1,1.0,1,0.12659844476970877,0.12659844476970877,0.0,0.12659844476970877,0.12659844476970877,0.12659844476970877,0.12659844476970877,1.0,1,1.0
sensor_5_min_sin,0.12958574757105862,0.12958574757105862,0.0,0.12958574757105862,0.12958574757105862,0.12958574757105862,0.12958574757105862,1.0,1,1.0,1,0.07256824968277627,0.07256824968277627,0.0,0.07256824968277627,0.07256824968277627,0.07256824968277627,0.07256824968277627,1.0,1,1.0
sensor_14_avg,0.1171823448983779,0.1171823448983779,0.0,0.1171823448983779,0.1171823448983779,0.1171823448983779,0.1171823448983779,1.0,1,1.0,1,0.06160801298111823,0.06160801298111823,0.0,0.06160801298111823,0.06160801298111823,0.06160801298111823,0.06160801298111823,1.0,1,1.0
sensor_52_max,-0.06514567818741346,-0.06514567818741346,0.0,-0.06514567818741346,-0.06514567818741346,0.06514567818741346,0.06514567818741346,1.0,1,1.0,1,-0.04453226870191016,-0.04453226870191016,0.0,-0.04453226870191016,-0.04453226870191016,0.04453226870191016,0.04453226870191016,1.0,1,1.0
wind_speed_3_min,0.06426342692099163,0.06426342692099163,0.0,0.06426342692099163,0.06426342692099163,0.06426342692099163,0.06426342692099163,1.0,1,1.0,1,0.0520703734090346,0.0520703734090346,0.0,0.0520703734090346,0.0520703734090346,0.0520703734090346,0.0520703734090346,1.0,1,1.0
sensor_47,-0.058006899567768035,-0.058006899567768035,0.0,-0.058006899567768035,-0.058006899567768035,0.058006899567768035,0.058006899567768035,1.0,1,1.0,1,-0.04268048315339085,-0.04268048315339085,0.0,-0.04268048315339085,-0.04268048315339085,0.04268048315339085,0.04268048315339085,1.0,1,1.0
sensor_38_avg,0.05636607146384974,0.05636607146384974,0.0,0.05636607146384974,0.05636607146384974,0.05636607146384974,0.05636607146384974,1.0,1,1.0,1,0.04372428583768878,0.04372428583768878,0.0,0.04372428583768878,0.04372428583768878,0.04372428583768878,0.04372428583768878,1.0,1,1.0
sensor_40_avg,0.054263652242998554,0.054263652242998554,0.0,0.054263652242998554,0.054263652242998554,0.054263652242998554,0.054263652242998554,1.0,1,1.0,1,0.04209701155210293,0.04209701155210293,0.0,0.04209701155210293,0.04209701155210293,0.04209701155210293,0.04209701155210293,1.0,1,1.0
