feature,mean_pb_r,median_pb_r,std_pb_r,min_pb_r,max_pb_r,mean_abs_pb_r,median_abs_pb_r,pb_sign_consistency,pb_significant_count,pb_significant_ratio,dataset_count,mean_sp_rho,median_sp_rho,std_sp_rho,min_sp_rho,max_sp_rho,mean_abs_sp_rho,median_abs_sp_rho,sp_sign_consistency,sp_significant_count,sp_significant_ratio
sensor_0_avg,0.20932043150503007,0.2646613288989424,0.16710568143362386,-0.023687976427763907,0.4609416587985413,0.2135144356351032,0.2646613288989424,0.9090909090909091,20,0.9090909090909091,22,0.22059856301781772,0.25539085541104317,0.1566816432160833,-0.004002939244845223,0.4568173344149679,0.22096246658553093,0.25539085541104317,0.9545454545454546,21,0.9545454545454546
sensor_41_avg,0.1276205633487005,0.1937168212316156,0.1529531987515569,-0.21005079690450196,0.2997407442255787,0.1689434530944163,0.20140655481646697,0.7272727272727273,21,0.9545454545454546,22,0.15286339305933094,0.2075936301977347,0.12378563084850285,-0.060642742685065476,0.3170693060611877,0.16062797757037886,0.2075936301977347,0.8636363636363636,20,0.9090909090909091
sensor_19_avg,0.13574143909311331,0.1829674397031002,0.1396300282935158,-0.09380284488744875,0.34179666387859664,0.16260259792618098,0.1829674397031002,0.7727272727272727,21,0.9545454545454546,22,0.13081638295022407,0.17343359294961652,0.13169463716179886,-0.09376453912692477,0.3194170657907709,0.15350619551724043,0.17343359294961652,0.7727272727272727,22,1.0
sensor_5_avg_cos,-0.1582632210248098,-0.13504795406806108,0.09849219726357131,-0.3395523634465606,0.0106189216394072,0.15987743209988958,0.13504795406806108,0.9090909090909091,21,0.9545454545454546,22,-0.07237283217981712,-0.06153960659057283,0.05212268367564074,-0.18930114649220783,0.02050846442078089,0.07567798632081818,0.06153960659057283,0.9090909090909091,22,1.0
sensor_5_min_cos,-0.1558436728406372,-0.13598842316933807,0.09876494794582256,-0.3386223731580511,0.014567667460255326,0.1582020660049447,0.13598842316933807,0.9090909090909091,22,1.0,22,-0.048045339243591396,-0.03227890569087663,0.05745477311261103,-0.17835836283512765,0.020338864892771567,0.05222530358862194,0.03227890569087663,0.8636363636363636,19,0.8636363636363636
sensor_10_avg,0.07990745389500041,0.1444669512756691,0.14075561391985122,-0.1853549771781054,0.2515369391551659,0.14160884469611082,0.1620511895629806,0.6818181818181818,21,0.9545454545454546,22,0.07735375396978285,0.13676986836113753,0.12359977107221833,-0.15213343706801213,0.23631064027387863,0.12631925511689898,0.14329561005635835,0.6363636363636364,20,0.9090909090909091
sensor_5_max_cos,-0.13630904335449315,-0.10827840585079651,0.084432744344212,-0.30144676221544153,-0.016679306824417945,0.13630904335449315,0.10827840585079651,1.0,22,1.0,22,-0.07375261666850495,-0.0803663337445143,0.04856550855083962,-0.1683567894158421,0.024278395032826,0.07737768841736085,0.0803663337445143,0.9090909090909091,22,1.0
sensor_40_avg,0.06877444575946191,0.06336891645085012,0.13571529166011814,-0.151169930297751,0.3089592201350264,0.11825759116448076,0.11199171693424137,0.6363636363636364,20,0.9090909090909091,22,0.0774999400805617,0.09939152308599189,0.1337374969701502,-0.1580644096823732,0.2984191837730082,0.12656389037081875,0.12047634453465508,0.6818181818181818,21,0.9545454545454546
sensor_5_min_sin,0.11447451536726438,0.09768241859576368,0.08535993566168404,-0.0034747111977308856,0.29972086722777613,0.11479039820342174,0.09768241859576368,0.9545454545454546,20,0.9090909090909091,22,0.06925455077393892,0.06607621724586692,0.05040570018338132,-0.03232369926427792,0.18277749356937772,0.0739374113893339,0.06607621724586692,0.9090909090909091,22,1.0
sensor_14_avg,0.09608691156302407,0.12568869854321257,0.07866184286632193,-0.08286516322427892,0.19375337731764,0.11262639237132904,0.12568869854321257,0.8181818181818182,22,1.0,22,0.055407622457720955,0.0775127860632781,0.07902757373779269,-0.08013184941163624,0.15959775942271667,0.08439969387625329,0.07960862059608975,0.6818181818181818,22,1.0
sensor_38_avg,0.05697785320546782,0.03922290907658789,0.10162679946421038,-0.10929597890051936,0.22790882622323624,0.09360517243012172,0.09806439127469065,0.6363636363636364,21,0.9545454545454546,22,0.051632766007568186,0.017789136240928087,0.10241022594786083,-0.11043915449639471,0.22321780514143974,0.09090753718264906,0.08786584492126094,0.5909090909090909,21,0.9545454545454546
wind_speed_3_min,0.04999728313994583,0.09091221971643977,0.08314952263746948,-0.11152023832058006,0.16972799316334453,0.0823102886538187,0.10274923156734583,0.7272727272727273,20,0.9090909090909091,22,0.038508075100491396,0.07451693412014444,0.07778891179604588,-0.11712432223141213,0.14868878669079832,0.07389011613182618,0.07848392508025671,0.6363636363636364,21,0.9545454545454546
sensor_1_avg_sin,0.02474756980435635,0.020434403163953244,0.07786582483825195,-0.09923780647195157,0.14423610682234161,0.06823015136201048,0.06644041938521886,0.6363636363636364,21,0.9545454545454546,22,0.030510873273309116,0.024358393213170085,0.07956055945950014,-0.08871010078460997,0.14963989003363617,0.07074589883752282,0.06354579374394512,0.6363636363636364,21,0.9545454545454546
sensor_18_avg,-0.060231718813825254,-0.04844194183240002,0.06550400154469518,-0.2159273310395703,0.04750375113930807,0.06812434866110052,0.04844194183240002,0.8181818181818182,20,0.9090909090909091,22,-0.04551104595842134,-0.03420479443051694,0.06987562527024259,-0.21187750319282603,0.058518945526016955,0.059462124824575115,0.03734043484634325,0.7727272727272727,21,0.9545454545454546
reactive_power_28_min,0.0542738731822626,0.04830060765211128,0.057308018259913975,-0.04683060343522065,0.18983245175478097,0.06202096438434354,0.04830060765211128,0.8636363636363636,20,0.9090909090909091,22,0.05138322862832407,0.047622839774122336,0.05487064972286195,-0.050507731121061,0.17960314143106526,0.06036867831466022,0.048301569985167395,0.8636363636363636,21,0.9545454545454546
sensor_34_avg,0.04113842805532893,0.039937295114506624,0.06430471565908757,-0.07021074639112328,0.1610652059325907,0.06062707299209398,0.06079813453469198,0.6818181818181818,19,0.8636363636363636,22,0.039011948528018675,0.05422010624398126,0.0617612830540755,-0.07386205753057311,0.14647291165667273,0.05988593935933892,0.05924205474178047,0.6818181818181818,19,0.8636363636363636
sensor_44,-0.0524436520548825,-0.04617945020320494,0.047071717413819485,-0.12312077366116608,0.029233368490885907,0.05775751937803689,0.04617945020320494,0.8636363636363636,22,1.0,22,-0.05030703497318712,-0.06480454243693629,0.04212401720944886,-0.12089540813630675,0.040528445563220154,0.05743698015411143,0.06480454243693629,0.8181818181818182,20,0.9090909090909091
sensor_42_avg_cos,-0.010573836540433179,-0.025168465105329274,0.06733155784328608,-0.09968887970330162,0.12702732941885037,0.05592935424884169,0.04871814050347863,0.7272727272727273,20,0.9090909090909091,22,-0.00037130065322756603,-0.008171148422810016,0.06639745904202168,-0.09070714676929441,0.1337962694119696,0.0509289257871451,0.040246655959397006,0.6363636363636364,16,0.7272727272727273
