feature,mean_pb_r,median_pb_r,std_pb_r,min_pb_r,max_pb_r,mean_abs_pb_r,median_abs_pb_r,pb_sign_consistency,pb_significant_count,pb_significant_ratio,dataset_count,mean_sp_rho,median_sp_rho,std_sp_rho,min_sp_rho,max_sp_rho,mean_abs_sp_rho,median_abs_sp_rho,sp_sign_consistency,sp_significant_count,sp_significant_ratio
sensor_12_avg,-0.01149022871020524,0.05016085469392535,0.11941408715457794,-0.2707571843839404,0.10649981082140783,0.0969756645641353,0.07219038170124753,0.5909090909090909,22,1.0,22,0.00515387052728761,0.042747173781334497,0.09280101960314754,-0.19847877554329016,0.11320810783113859,0.0790987425094987,0.06636869329153847,0.5909090909090909,22,1.0
sensor_11_avg,-0.02222969229615813,0.019036684771480385,0.10226836587842843,-0.25144710090364625,0.0963115319557816,0.0775817292551729,0.05795492181443903,0.5454545454545454,21,0.9545454545454546,22,-0.00841711506547541,0.017762818808552083,0.08871900794446748,-0.2064528539193976,0.10272082073754764,0.06993854481861449,0.05280981562042674,0.5454545454545454,21,0.9545454545454546
sensor_16_avg,0.0037139722420524296,0.018222313121987743,0.09571005171652129,-0.19454345346903373,0.14754366103561198,0.07610239148863845,0.06945777312682981,0.5454545454545454,21,0.9545454545454546,22,-0.005740457100644938,0.007569313842614314,0.0904681608715353,-0.20079753560111618,0.12251849749831586,0.07100989687838553,0.062098386377069575,0.5454545454545454,21,0.9545454545454546
sensor_15_avg,0.0005012648666712502,0.017681296500428288,0.09100912274898514,-0.19258924818996956,0.10816285848510068,0.07229932051541406,0.06895056731123533,0.5909090909090909,21,0.9545454545454546,22,-0.009049975165036937,0.00649682212792544,0.0881873252068008,-0.20258876007072393,0.1005005330363115,0.06873192904538114,0.0534388090118173,0.5454545454545454,21,0.9545454545454546
power_29_avg,0.013554875804934181,0.04814079648039149,0.07763400811369399,-0.12433336443337946,0.14696463144357014,0.0701109552054554,0.07100679620344975,0.5454545454545454,22,1.0,22,0.002223357460209883,0.03199206750026275,0.06929116692639622,-0.1285563183353491,0.11123162008937176,0.06191904640496964,0.058679530041336136,0.5454545454545454,22,1.0
sensor_42_avg_sin,0.02332645442143982,0.015355546969882807,0.08014560105382305,-0.10808331759335686,0.13996152160194072,0.068086762159017,0.06475626149765557,0.5909090909090909,20,0.9090909090909091,22,0.021606073482331265,0.009385968628224484,0.08384407690823317,-0.09211718821698768,0.15426943767493037,0.07111528484210126,0.07180977050308629,0.5909090909090909,19,0.8636363636363636
sensor_17_avg,-0.004682677855897211,0.018417973351137238,0.08752235632405965,-0.19556111165569387,0.104374893678858,0.0680581877719917,0.0645267755375234,0.5454545454545454,21,0.9545454545454546,22,-0.012767853248959541,0.007719752891713002,0.08405413775739042,-0.20199583856889047,0.08968449583284838,0.06439733300905821,0.04818618505658539,0.5454545454545454,21,0.9545454545454546
wind_speed_3_avg,0.01944601416081375,0.0476796346698429,0.0752630131027528,-0.1199818050016789,0.1385524482992544,0.0671281444506118,0.07003123591582183,0.5909090909090909,20,0.9090909090909091,22,0.00688817799418305,0.0366963253467636,0.07126227431723654,-0.12459664511600514,0.12099219324366116,0.0641422814108023,0.0600813362622869,0.5454545454545454,22,1.0
power_29_max,0.003406582062649026,0.03503094790486286,0.07327137923463133,-0.12572940233918434,0.13275630995373114,0.06617360971754917,0.060900038557043665,0.5454545454545454,22,1.0,22,0.0008480147872855829,0.027675600418110395,0.06851970150578623,-0.12678488611367417,0.11362321099628436,0.06128405591117311,0.05552534726612211,0.5454545454545454,22,1.0
wind_speed_4_avg,0.01132839311618661,0.038545113271490954,0.07359229659195785,-0.12738981044749753,0.12427895628940584,0.06442213961928912,0.06422897396313398,0.5454545454545454,20,0.9090909090909091,22,0.0006094733730066637,0.02901247193298119,0.06991591958744561,-0.13104452177656448,0.10947374420481301,0.062210434782927045,0.05870080535452838,0.5454545454545454,22,1.0
power_29_min,0.017718062289040108,0.05299909905424874,0.0729236842733892,-0.1186884183687042,0.13303861814798168,0.06441255759549792,0.06557854639242612,0.5454545454545454,20,0.9090909090909091,22,0.0005808827612742154,0.030734178753115134,0.06775100088015341,-0.1262911986100375,0.10624346118380866,0.06015834981941107,0.057065065884140884,0.5454545454545454,22,1.0
sensor_47,-0.04349201446457414,-0.025400367178282243,0.06971628400586982,-0.15510481186012343,0.06714367026419063,0.06367311901014992,0.057739727088165084,0.5909090909090909,18,0.8181818181818182,22,-0.030837715990083395,-0.02938849374023058,0.043542199563009205,-0.09823009023444187,0.037203184178710734,0.04336965170456374,0.03316548646264905,0.7272727272727273,21,0.9545454545454546
sensor_8_avg,-0.033484393790468275,-0.0133967952231158,0.08936852414867955,-0.23132431066814646,0.08217457144672362,0.06297278036323302,0.03879208116688384,0.5454545454545454,18,0.8181818181818182,22,-0.021917865938505476,-0.012313958070311711,0.09387346396324293,-0.22968229205034071,0.09996431216823225,0.06764723227543276,0.04128415481728838,0.5454545454545454,20,0.9090909090909091
wind_speed_3_max,-0.006418315398815289,0.005942394261110137,0.06118759159564274,-0.12292145199114948,0.07906338458452696,0.05053057143725497,0.04266810306400192,0.5,22,1.0,22,-0.012816160757709664,-0.006763058747977559,0.0602350902809301,-0.1231402242032279,0.07568012238409262,0.05180824479252922,0.038135252971700034,0.5,22,1.0
