feature,mean_pb_r,median_pb_r,std_pb_r,min_pb_r,max_pb_r,mean_abs_pb_r,median_abs_pb_r,pb_sign_consistency,pb_significant_count,pb_significant_ratio,dataset_count,mean_sp_rho,median_sp_rho,std_sp_rho,min_sp_rho,max_sp_rho,mean_abs_sp_rho,median_abs_sp_rho,sp_sign_consistency,sp_significant_count,sp_significant_ratio
sensor_0_avg,0.20932043150503007,0.2646613288989424,0.16710568143362386,-0.023687976427763907,0.4609416587985413,0.2135144356351032,0.2646613288989424,0.9090909090909091,20,0.9090909090909091,22,0.22059856301781772,0.25539085541104317,0.1566816432160833,-0.004002939244845223,0.4568173344149679,0.22096246658553093,0.25539085541104317,0.9545454545454546,21,0.9545454545454546
sensor_53_avg,0.18330233583003774,0.25022802428136337,0.15117136992628152,-0.047594324996391005,0.3863555701321617,0.19372494257445483,0.25022802428136337,0.8636363636363636,21,0.9545454545454546,22,0.19392211412225357,0.23755109177542344,0.14439060927726124,-0.022901047661657365,0.39450479361781937,0.19787313706387924,0.23755109177542344,0.8636363636363636,22,1.0
sensor_43_avg,0.1689580984691782,0.2275373730684702,0.16294909213417205,-0.08124262526552536,0.4052022980580523,0.19124204032946074,0.2275373730684702,0.7727272727272727,21,0.9545454545454546,22,0.17359709573749646,0.22138953865318473,0.15331701537806297,-0.06558806105088005,0.39823788386072306,0.18793915744667372,0.22138953865318473,0.8181818181818182,21,0.9545454545454546
sensor_6_avg,0.1587408094855226,0.23160615592187156,0.15091673086166854,-0.09186019646155807,0.3617046773015825,0.18323157452317,0.23160615592187156,0.8181818181818182,22,1.0,22,0.1739949677342356,0.22389724773086717,0.1370910812702959,-0.04343126208897853,0.36711321749018033,0.18341218093823952,0.22389724773086717,0.8636363636363636,22,1.0
sensor_41_avg,0.1276205633487005,0.1937168212316156,0.1529531987515569,-0.21005079690450196,0.2997407442255787,0.1689434530944163,0.20140655481646697,0.7272727272727273,21,0.9545454545454546,22,0.15286339305933094,0.2075936301977347,0.12378563084850285,-0.060642742685065476,0.3170693060611877,0.16062797757037886,0.2075936301977347,0.8636363636363636,20,0.9090909090909091
sensor_19_avg,0.13574143909311331,0.1829674397031002,0.1396300282935158,-0.09380284488744875,0.34179666387859664,0.16260259792618098,0.1829674397031002,0.7727272727272727,21,0.9545454545454546,22,0.13081638295022407,0.17343359294961652,0.13169463716179886,-0.09376453912692477,0.3194170657907709,0.15350619551724043,0.17343359294961652,0.7727272727272727,22,1.0
sensor_5_avg_cos,-0.1582632210248098,-0.13504795406806108,0.09849219726357131,-0.3395523634465606,0.0106189216394072,0.15987743209988958,0.13504795406806108,0.9090909090909091,21,0.9545454545454546,22,-0.07237283217981712,-0.06153960659057283,0.05212268367564074,-0.18930114649220783,0.02050846442078089,0.07567798632081818,0.06153960659057283,0.9090909090909091,22,1.0
sensor_5_min_cos,-0.1558436728406372,-0.13598842316933807,0.09876494794582256,-0.3386223731580511,0.014567667460255326,0.1582020660049447,0.13598842316933807,0.9090909090909091,22,1.0,22,-0.048045339243591396,-0.03227890569087663,0.05745477311261103,-0.17835836283512765,0.020338864892771567,0.05222530358862194,0.03227890569087663,0.8636363636363636,19,0.8636363636363636
sensor_9_avg,0.11009306888052191,0.15835646400061087,0.14447403085740018,-0.1601149568917962,0.32455039191514184,0.152515508347399,0.1635000932198022,0.7272727272727273,22,1.0,22,0.10898378294490452,0.14165842776173676,0.13262797664025452,-0.14088456796471716,0.3064663789840135,0.14275727248593054,0.1428850625615926,0.7272727272727273,22,1.0
sensor_7_avg,0.11321014466431902,0.16612078366321348,0.14393149942650005,-0.1387128247791158,0.3250205089361145,0.1525135253537499,0.16612078366321348,0.7272727272727273,20,0.9090909090909091,22,0.11024886378389369,0.15283730693272576,0.133329468251058,-0.1250372041910389,0.30564238549506423,0.14313765403875292,0.15283730693272576,0.7272727272727273,20,0.9090909090909091
