feature,feature_index,pr_auc,roc_auc,validation_mean_mse,validation_p95_mse,normal_median_mse,anomaly_median_mse,normal_p90_mse,anomaly_p90_mse,anomaly_over_normal_median,anomaly_over_validation_p95,mean_z_gap
active_power_gap,21,0.5071870497264037,0.6140502076645886,66.0888900756836,377.58722077415916,2.416388988494873,3.7447509765625,7.033398771286011,4221.053808593757,1.549730187852635,0.009917578695816864,2.6290435791015625
sensor_43_avg,12,0.455345979296662,0.6055870003576026,0.36800408363342285,0.8608154635293578,0.24300415813922882,0.31885597109794617,0.6353446900844574,0.9549911975860597,1.3121419831583225,0.37041152791404486,1.0233402252197266
generator_bearing_temp_gap,62,0.5310824353843457,0.6023145954013378,1.0909348726272583,3.165110037790068,0.4565379321575165,0.7216458320617676,1.82990791797638,4.857775974273683,1.5806919106249937,0.22800023488776797,1.1576207876205444
transformer_temp_spread,58,0.434035529208537,0.5979996025915709,1.9813123941421509,7.564851818547972,0.4050862789154053,0.6182224750518799,1.963147556781769,6.634463214874272,1.52615008695341,0.08172301188188297,0.4405466914176941
hydraulic_vs_ambient,66,0.4080783471396875,0.5873066188000183,0.5086975693702698,1.181833843456039,0.313889741897583,0.42819273471832275,1.249900567531586,1.5376832246780407,1.3641500945148248,0.3623121279605244,0.47382333874702454
inverter_temp_spread,39,0.47712195138590296,0.5821529008621943,0.3306458592414856,0.7486873220069501,0.36236003041267395,0.4441876709461212,0.6933077335357666,0.9894007563591005,1.2258185820938143,0.5932886238215181,1.2515960931777954
sensor_6_avg,25,0.5082279300129249,0.5797279539461146,0.3427036702632904,0.7061457167728041,0.3692571818828583,0.4400542080402374,0.7223655462265016,1.6653748035430915,1.1917281984309693,0.6231776212583341,2.9982943534851074
sensor_9_avg,7,0.45973491598474947,0.5768763534998343,0.4946296513080597,1.013290629850158,0.3904813826084137,0.45095476508140564,0.7730696976184845,1.081460094451905,1.1548687686986316,0.44503990444290525,0.6706175804138184
sensor_19_avg,8,0.4270359253431507,0.5753244134691887,0.5060268044471741,1.1802765648229212,0.2715761661529541,0.3207561671733856,0.7564775347709658,0.9876029610633856,1.1810909620906251,0.27176356519584816,0.4271414577960968
sensor_5_max,17,0.4726269692585284,0.5741800364166498,0.20469340682029724,0.7311865936381906,0.40761905908584595,0.4691412150859833,0.8021482288837434,2.494902133941652,1.1509304904162385,0.6416162702760467,1.3746451139450073
sensor_0_avg,15,0.4615051956481132,0.5700932366316988,0.2407045066356659,0.581005061732063,0.22442218661308289,0.2706625759601593,0.5815563261508943,1.0768107652664185,1.206041915839535,0.46585235445845113,1.7767821550369263
wind_speed_3_min,37,0.4377823929688828,0.5673753919046636,0.3530512750148773,0.646604944334755,0.24683663249015808,0.28402063250541687,0.5287247240543366,0.8402883887290956,1.1506420993258382,0.4392490886342125,0.9086970090866089
sensor_41_avg,19,0.43228542620126886,0.5672128785026898,0.3547470271587372,0.9034845958812332,0.18851953744888306,0.22561518847942352,0.7755997478961945,1.1328294754028323,1.1967734462156978,0.24971669634208304,0.7068785429000854
stator_winding_temp_spread,44,0.4482813207292453,0.5668883391170936,1.2293041944503784,3.601034436689147,0.18827486038208008,0.299946665763855,1.9832159161567697,3.96218433380127,1.5931317076737384,0.08329458410834613,0.4584159553050995
sensor_5_avg_cos,6,0.4684066493357276,0.5587547890883928,0.009108480997383595,0.025468815897980925,0.008382385596632957,0.010039121843874454,0.03418931141495705,0.13871644139289865,1.1976435290058336,0.3941730893217662,1.4416738748550415
sensor_5_min,18,0.4588901981525979,0.5539465695252724,0.12937849760055542,0.48874625371528596,0.22530505061149597,0.28259387612342834,0.5399292647838593,3.846148681640628,1.254272209227995,0.5782016209336521,2.0894768238067627
sensor_14_avg,31,0.42827557984366194,0.5515429065438676,0.30522844195365906,0.7325582485063171,0.1774812638759613,0.21205085515975952,0.452726274728775,0.6921373367309573,1.194778753436029,0.28946620366657566,1.606870412826538
sensor_5_avg,14,0.46106402679033215,0.5501481995497229,0.09228287637233734,0.2732535819871518,0.15561115741729736,0.18511760234832764,0.31223804652690934,2.0705185890197764,1.189616435765846,0.677457184649209,1.7735471725463867
wind_speed_3_avg,33,0.4082388686716765,0.5493515142544685,0.5049865245819092,1.177513996825941,0.2998136281967163,0.336142897605896,0.7959571242332459,0.9618201613426217,1.121172804638537,0.2854682819159595,0.3726201355457306
sensor_51_reset_flag,0,0.41097164994109564,0.5490824593245324,0.25280749797821045,0.2612585525376892,0.25222116708755493,0.25290536880493164,0.2640525817871094,0.2803543448448182,1.0027126656265632,0.968027137670249,0.752854585647583
sensor_16_avg,29,0.42903510149111307,0.5472582149082752,0.5139448046684265,1.1991227607591242,0.2839927673339844,0.3207094371318817,0.755058127641678,1.2567025899887088,1.129287301397519,0.2674533814443247,0.3619725704193115
sensor_10_avg,9,0.4264018013407494,0.5440275248392453,0.4132326543331146,0.8510754625661467,0.40243950486183167,0.41164064407348633,0.8824405670166017,1.4615993976593022,1.022863384115781,0.48367114571992853,1.3136802911758423
sensor_50_reset_flag,68,0.41899449112871434,0.5396743915434866,0.25216665863990784,0.25920977102352144,0.2529956102371216,0.2532244920730591,0.2614071905612946,0.2737539231777191,1.000904647423236,0.9769095164629452,1.0387177467346191
nacelle_vs_ambient,50,0.35151228043074606,0.5380369502103779,0.5377007722854614,1.236036614642868,0.34649768471717834,0.3872400224208832,0.9805993080139165,0.9790133595466616,1.1175832576229978,0.313291708217535,0.053885675966739655
sensor_7_avg,10,0.4224821660395681,0.537624431812366,0.46276336908340454,1.03855802820755,0.3569929301738739,0.3631509244441986,0.7320468902587893,1.0182907581329355,1.0172495967772512,0.3496684003983502,0.5445591807365417
sensor_44_delta,46,0.38885210575731355,0.533053625604541,0.5532859563827515,2.4801253180367997,0.8575735092163086,0.9214861392974854,2.0658865213394164,2.5290664672851566,1.0745272780106165,0.3715482167759607,0.14969314634799957
power_30_min,41,0.357579463454779,0.5296492521296526,0.8039707541465759,1.7607779304845423,0.2421865612268448,0.3152150511741638,1.2709548115730287,1.2939507961273198,1.3015381058387283,0.17902033284084887,0.09333798289299011
wind_speed_3_std,40,0.339062636983394,0.5273312123052987,0.4284237325191498,0.8817140887839888,0.24893459677696228,0.2641507387161255,0.619329422712326,0.5732093334197998,1.0611250164698731,0.2995877485415114,0.006131738889962435
sensor_13_avg,27,0.4137255940278673,0.5256728932194746,0.25438767671585083,0.6132975141866298,0.1759941279888153,0.18385092914104462,0.4028227359056473,0.6176311731338503,1.0446423457168137,0.2997744567493841,0.29242628812789917
sensor_33_avg,54,0.35231570358404685,0.5241473143979969,0.37213951349258423,0.541895915137062,0.40531137585639954,0.42224231362342834,0.6397615790367127,0.6313403844833374,1.0417726428564418,0.7791944944198931,0.10011452436447144
wind_speed_3_max,42,0.36617703106406574,0.5236355657472928,0.6030715703964233,1.1400959412915792,0.4844180643558502,0.488240122795105,0.9119047224521639,1.0322126626968386,1.0078899790110787,0.4282447688060296,0.11816529184579849
sensor_11_avg,32,0.4202996362536707,0.5221628718169348,0.31001967191696167,1.008351043926009,0.35885143280029297,0.3658086061477661,0.8246244370937348,1.3293377161026005,1.0193873077203843,0.3627790225946436,0.8388763070106506
sensor_5_std,51,0.3906564935125953,0.5201402075134889,3.574666976928711,15.2826536755426,7.4757184982299805,7.32393741607666,17.18549385070801,19.39766998291016,0.9796967887452925,0.47923204775604056,0.19998571276664734
sensor_51_delta,63,0.3504628925118452,0.5200029180111967,0.6772140264511108,2.116926417814024,0.5891624689102173,0.6452759504318237,1.6059719920158395,1.6174350261688237,1.0952427785717114,0.3048173734343337,0.05825262516736984
sensor_32_avg,72,0.35902055463875887,0.5153479102831786,0.41765621304512024,0.5927413682801816,0.4233912229537964,0.4317557215690613,0.6563966751098633,0.6759459018707277,1.0197559324904057,0.7284049075599117,0.12107259035110474
sensor_20_avg,11,0.38963617619704616,0.5148851877949796,0.4916749596595764,1.148338649736175,0.3676759600639343,0.33900678157806396,0.7832956910133362,1.1482472181320198,0.9220259390873841,0.29521498876307006,0.28401535749435425
sensor_47_delta,59,0.35348943991598064,0.5140138462555791,0.5244939923286438,2.5607961277825924,0.7373107671737671,0.7434616088867188,2.553134059906006,2.8660898208618173,1.0083422511963391,0.2903244037355236,0.06468602269887924
sensor_21_avg,13,0.3582354845936405,0.513844305905707,0.5295112133026123,1.0967964153153988,0.461819589138031,0.4411501884460449,0.883939427137375,0.9887791037559516,0.955243539402475,0.4022170224901639,0.10873521864414215
sensor_25_avg,45,0.35404215206115974,0.512687418448817,0.6319686770439148,1.3043814282281492,0.33503323793411255,0.3602847456932068,0.9434096276760101,0.983866977691651,1.0753701249496892,0.2762111893777971,0.07396575808525085
sensor_52_min,65,0.3713130595217228,0.510497447796276,0.3075002133846283,1.0814175884587858,0.6814123392105103,0.682424783706665,1.0674066543579102,1.1783916234970095,1.001485788300326,0.6310464995111119,0.06310046464204788
sensor_18_std,30,0.3618802371846065,0.5041711231597317,1.3921929597854614,5.720553789602045,3.1332621574401855,2.8120510578155518,7.363017511367798,8.240740203857422,0.8974834876690012,0.4915697258064196,0.08025103807449341
sensor_45_delta,22,0.3462526663741348,0.5010442938177319,1.4171804189682007,3.144464920030364,0.6370664238929749,0.7051669359207153,1.9685382127761843,2.0069563388824476,1.1068970179634061,0.22425657587361666,0.038821883499622345
sensor_34_avg,47,0.34807985302450406,0.4990371050469409,0.34142595529556274,0.6691881428821179,0.29856446385383606,0.29711002111434937,0.5340573608875275,0.5600347757339478,0.9951285137152697,0.44398578228647323,0.037125349044799805
sensor_52_std,26,0.35826075994102635,0.4980665738730441,0.9634155631065369,3.9434763531549026,2.1625800132751465,1.8749171495437622,5.073995780944824,5.611060047149665,0.8669816281315086,0.4754477982462785,0.04857301339507103
power_30_max,64,0.3586479560621709,0.49776762395089297,0.511151909828186,1.0998890797956085,0.38055095076560974,0.3926667869091034,0.906895637512207,0.9813511371612551,1.0318375917882812,0.3570058055145637,0.06805970519781113
sensor_12_avg,16,0.4135708843256869,0.49760368891206114,0.28389155864715576,0.924089620576629,0.33312374353408813,0.31487852334976196,0.8448655068874359,1.8033099412918117,0.9452298733105529,0.3407445731868287,2.7894599437713623
sensor_31_min,70,0.33175755701312315,0.49751294786232125,0.24945543706417084,1.0427450101239764,0.35141146183013916,0.34686025977134705,1.0689433336257934,1.033584713935852,0.9870487664073982,0.33264149567122586,-0.06392555683851242
sensor_42_avg,3,0.34954027710039076,0.49748118443309264,0.2642173767089844,1.1439388375146484,0.23069728910923004,0.23481862246990204,1.7419346809387208,1.9210255146026616,1.0178646363723602,0.20527200823085537,0.12080598622560501
sensor_2_avg_cos,34,0.3724691893422896,0.4957008076684555,0.04021293669939041,0.22333448188138955,0.029895953834056854,0.03143171966075897,0.2622968971729279,0.3332206666469575,1.0513700055039743,0.14073831947478674,0.2911456823348999
reactive_power_28_min,69,0.35043785143927225,0.49529393519967985,0.2866758406162262,1.2556376616818998,0.703294575214386,0.7209905385971069,1.3130281567573547,1.3420342445373539,1.0251615094936735,0.5742027024192278,-0.0022421760950237513
sensor_8_avg,55,0.3835461520037905,0.49440017241611817,0.39353471994400024,1.1791383485658256,0.4007354974746704,0.4003600478172302,0.9683771610260017,1.1331881999969482,0.9990630736472387,0.33953610982475824,0.30614376068115234
current_phase_imbalance,53,0.3367461664723109,0.49421869031663834,0.32478025555610657,0.9030879359109493,0.6119170188903809,0.5832913517951965,1.1214351058006289,1.1382343292236334,0.9532196756362661,0.6458854432673022,-0.026305656880140305
sensor_42_avg_sin,1,0.34339733100851577,0.49269782320589023,0.2002503126859665,0.893123907910118,0.17013171315193176,0.1653997302055359,0.7945046722888948,0.86814341545105,0.9721862986001142,0.18519236663652425,0.023153750225901604
sensor_1_avg,4,0.35196976998137275,0.492574425126611,0.28071215748786926,1.2634139101369475,0.3411569595336914,0.30738869309425354,1.828401565551758,1.8929106712341308,0.901018359714023,0.24330007025245923,0.08980590105056763
rotor_speed_to_wind_ratio,38,0.3355641873547036,0.4867168750894616,0.41750967502593994,1.6023018698556513,0.6979362964630127,0.6711500287055969,1.6674803733825685,1.707982158660889,0.9616207417362155,0.41886615832637064,-0.04504306614398956
sensor_31_max,43,0.3421229793597751,0.4823932712221544,0.578514575958252,2.3756404976708967,0.7877535820007324,0.5968528389930725,2.3907687425613404,2.4740647792816164,0.7576643826874706,0.25123870365833273,-0.0581854023039341
sensor_31_std,56,0.32021671182643713,0.48222572116388357,41.20426940917969,176.59829331444337,49.989715576171875,41.989017486572266,177.67571105957032,170.73730468750017,0.8399531182407295,0.23776570372516803,-0.12037145346403122
sensor_22_avg,57,0.3217769164701288,0.48192750236925935,0.37411728501319885,1.256807229982147,0.7265097498893738,0.681341826915741,1.471083652973175,1.476269602775574,0.9378288696623833,0.5421211866559834,-0.11359250545501709
reactive_power_27_std,23,0.31309037446504473,0.4797346072066104,0.3761744201183319,0.6028103958232497,0.38107195496559143,0.38302019238471985,0.5701102733612061,0.5315673589706422,1.0051124921228576,0.6353908211248324,-0.1476261019706726
sensor_1_avg_sin,2,0.3309911798483901,0.4786230902745904,0.1893516480922699,0.8340044121606437,0.1962871253490448,0.18008825182914734,0.7192355632781983,0.7073249936103821,0.9174735344163436,0.21593201331224998,-0.021391503512859344
sensor_42_avg_cos,35,0.3669379511690244,0.4759950117605925,0.11201167106628418,0.3452702056033706,0.195701003074646,0.15627822279930115,0.6053843677043915,0.7059374690055847,0.7985560235178351,0.4526258572650369,0.12554672360420227
power_29_std,71,0.3295819964718508,0.4730986500623814,0.4466775953769684,0.7207567285163499,0.3922666311264038,0.37477752566337585,0.7368349254131318,0.777187252044678,0.9554152363993851,0.5199778383406022,-0.13164176046848297
sensor_37_avg,5,0.3478875658997054,0.47102025759409977,0.5124425292015076,1.0385262589318847,0.45649176836013794,0.40535223484039307,0.8580625414848329,0.9305547237396243,0.8879726953605732,0.3903148633500075,-0.00450314674526453
sensor_2_avg,20,0.37353894822970335,0.470206228329177,0.37054750323295593,1.9221126716001111,0.2794591188430786,0.23124295473098755,2.3259426116943374,3.126427602767945,0.8274660974157502,0.12030665951464933,0.3021826148033142
reactive_share,48,0.31933540394572923,0.4701348215407066,0.2599065601825714,1.2463386993272394,0.7708835601806641,0.6257073879241943,2.057907605171205,2.0837964534759523,0.8116756046280162,0.5020363952928242,-0.22318504750728607
reactive_power_27_min,52,0.32872695098180565,0.468388401587879,0.7023574709892273,1.3709373276097867,0.8197298049926758,0.7812031507492065,1.337807607650757,1.3043518066406252,0.9530007771599555,0.5698314102448616,-0.12592744827270508
