event_id,asset_id,sequence_id,event_label,event_description,window_count,positive_window_count,true_event_label,max_score,mean_score,predicted_window_count,first_predicted_anomaly_time,max_consecutive_predicted_windows,event_detected_any_window,event_detected_consecutive
0,0,event_0,anomaly,Generator bearing failure,390,311,1,137.64111328125,27.21149253845215,150,2023-08-04 06:00:00,77,1,1
3,10,event_3,normal,,527,0,0,54.704647064208984,8.635744094848633,48,2023-04-27 02:50:00,26,1,1
10,10,event_10,anomaly,Gearbox failure,165,140,1,66.73499298095703,13.037914276123047,31,2023-10-12 22:30:00,31,1,1
13,21,event_13,normal,,574,0,0,15.982845306396484,7.383362770080566,35,2023-04-30 16:10:00,19,1,1
14,13,event_14,normal,,293,0,0,14.852469444274902,8.418227195739746,12,2023-03-05 08:50:00,8,1,0
17,10,event_17,normal,,393,0,0,17.881311416625977,9.607285499572754,51,2023-11-04 09:10:00,24,1,1
22,21,event_22,anomaly,Hydraulic group,121,121,1,17.075448989868164,8.322334289550781,23,2023-08-15 01:40:00,11,1,0
24,0,event_24,normal,,405,0,0,16.589454650878906,8.900130271911621,34,2023-04-24 14:50:00,20,1,1
25,11,event_25,normal,,380,0,0,53.84076690673828,8.90246868133545,11,2023-06-07 15:40:00,11,1,0
26,0,event_26,anomaly,Hydraulic group,217,169,1,15.046319007873535,8.290754318237305,15,2023-10-20 00:10:00,15,1,1
38,13,event_38,normal,,365,0,0,17.40576171875,9.225339889526367,58,2023-07-07 22:30:00,28,1,1
40,10,event_40,anomaly,Generator bearing failure,688,663,1,124.11249542236328,27.673828125,286,2024-01-03 21:30:00,159,1,1
42,10,event_42,anomaly,Hydraulic group,215,143,1,59.15978240966797,13.203798294067383,43,2023-09-13 10:10:00,32,1,1
45,13,event_45,anomaly,Hydraulic group,193,144,1,43.796897888183594,8.526851654052734,32,2023-04-24 08:30:00,25,1,1
51,21,event_51,normal,,375,0,0,59.27083206176758,11.091968536376953,72,2023-10-10 13:20:00,27,1,1
68,11,event_68,anomaly,Transformer failure,312,289,1,18.56601905822754,11.71561050415039,93,2023-07-30 16:10:00,27,1,1
69,11,event_69,normal,,409,0,0,18.76526641845703,9.929570198059082,46,2023-09-07 21:40:00,33,1,1
71,0,event_71,normal,,385,0,0,21.577972412109375,10.141852378845215,102,2024-01-04 21:50:00,39,1,1
72,21,event_72,anomaly,Gearbox failure,313,192,1,57.50529098510742,12.011340141296387,74,2023-10-08 12:30:00,27,1,1
73,0,event_73,anomaly,Hydraulic group,265,192,1,130.15464782714844,21.017732620239258,74,2023-06-08 14:30:00,50,1,1
84,13,event_84,anomaly,Hydraulic group,164,139,1,13.966490745544434,8.355663299560547,1,2023-09-12 13:40:00,1,1,0
92,11,event_92,normal,,272,0,0,12.76729965209961,7.143138885498047,0,,0,0,0
