event_id,asset_id,sequence_id,event_label,event_description,window_count,positive_window_count,true_event_label,max_score,mean_score,predicted_window_count,first_predicted_anomaly_time,max_consecutive_predicted_windows,event_detected_any_window,event_detected_consecutive
0,0,event_0,anomaly,Generator bearing failure,390,311,1,125.38956451416016,27.138458251953125,139,2023-08-04 06:00:00,77,1,1
3,10,event_3,normal,,527,0,0,28.839962005615234,8.13034725189209,28,2023-04-30 23:50:00,25,1,1
10,10,event_10,anomaly,Gearbox failure,165,140,1,71.8919448852539,11.884721755981445,29,2023-10-13 00:30:00,29,1,1
13,21,event_13,normal,,574,0,0,16.125585556030273,7.02091121673584,23,2023-04-30 19:10:00,12,1,1
14,13,event_14,normal,,293,0,0,14.276345252990723,7.977554798126221,4,2023-03-07 10:50:00,4,1,0
17,10,event_17,normal,,393,0,0,18.0561466217041,9.282256126403809,30,2023-11-04 10:10:00,21,1,1
22,21,event_22,anomaly,Hydraulic group,121,121,1,16.945585250854492,7.8595147132873535,6,2023-08-16 05:40:00,6,1,0
24,0,event_24,normal,,405,0,0,16.014202117919922,8.383962631225586,15,2023-04-24 14:50:00,11,1,0
25,11,event_25,normal,,380,0,0,35.46751403808594,8.16214370727539,11,2023-06-07 15:40:00,11,1,0
26,0,event_26,anomaly,Hydraulic group,217,169,1,13.87874984741211,7.580204010009766,1,2023-10-20 06:10:00,1,1,0
38,13,event_38,normal,,365,0,0,17.450132369995117,9.015542984008789,44,2023-07-07 22:30:00,25,1,1
40,10,event_40,anomaly,Generator bearing failure,688,663,1,97.52464294433594,19.76087760925293,262,2023-12-28 10:50:00,156,1,1
42,10,event_42,anomaly,Hydraulic group,215,143,1,38.0790901184082,11.163924217224121,29,2023-09-13 10:10:00,25,1,1
45,13,event_45,anomaly,Hydraulic group,193,144,1,20.710737228393555,8.443794250488281,23,2023-04-24 12:30:00,8,1,0
51,21,event_51,normal,,375,0,0,68.00370788574219,10.724605560302734,72,2023-10-10 11:20:00,27,1,1
68,11,event_68,anomaly,Transformer failure,312,289,1,18.30101203918457,11.318655014038086,80,2023-07-30 19:10:00,24,1,1
69,11,event_69,normal,,409,0,0,17.88014030456543,9.439477920532227,32,2023-09-07 21:40:00,24,1,1
71,0,event_71,normal,,385,0,0,22.317787170410156,9.682588577270508,82,2024-01-04 23:50:00,33,1,1
72,21,event_72,anomaly,Gearbox failure,313,192,1,67.3315200805664,11.575587272644043,71,2023-10-08 12:30:00,26,1,1
73,0,event_73,anomaly,Hydraulic group,265,192,1,119.04135131835938,20.030933380126953,70,2023-06-08 18:30:00,50,1,1
84,13,event_84,anomaly,Hydraulic group,164,139,1,12.779632568359375,8.308991432189941,0,,0,0,0
92,11,event_92,normal,,272,0,0,12.554994583129883,6.91497802734375,0,,0,0,0
