event_id,asset_id,event_label,event_description,window_count,positive_window_count,predicted_window_count,mean_score,max_score,mean_top_feature_ratio,top_1_feature,top_2_feature,top_3_feature,top_4_feature,top_5_feature,top_6_feature,top_7_feature,top_8_feature,top_9_feature,top_10_feature,top_1_value,top_2_value,top_3_value,top_4_value,top_5_value,top_6_value,top_7_value,top_8_value,top_9_value,top_10_value
40,10,anomaly,Generator bearing failure,688,663,485,3.405979871749878,8.385788917541504,34.76468541865829,sensor_5_min,sensor_5_avg_cos,sensor_5_avg,sensor_14_avg,generator_bearing_temp_gap,sensor_5_max,sensor_12_avg,transformer_temp_spread,sensor_11_avg,sensor_52_min,34.76468541865829,27.58827114785955,19.28823545346876,15.905085909636322,15.446604827580874,8.534438253697736,7.023714244006207,6.576657030757054,5.374916590371591,3.756571358993266
42,10,anomaly,Hydraulic group,215,143,159,2.2390713691711426,3.7257089614868164,15.69017799083706,sensor_5_min,sensor_5_avg_cos,sensor_5_avg,sensor_5_max,hydraulic_vs_ambient,sensor_41_avg,sensor_6_avg,sensor_47_delta,sensor_42_avg,sensor_44_delta,15.69017799083706,8.500760687441584,7.944406570732676,4.069776213924854,2.6734284568030167,2.081180681567872,1.9135528305374616,1.4261866151660503,1.4088346078789518,1.3820650844737723
10,10,anomaly,Gearbox failure,165,140,49,1.957032322883606,3.3850467205047607,7.804905583319312,sensor_5_min,sensor_5_avg,sensor_5_avg_cos,power_29_std,sensor_5_max,transformer_temp_spread,sensor_34_avg,sensor_8_avg,sensor_41_avg,sensor_44_delta,7.804905583319312,3.9040700528361842,3.2888897832092496,2.716890028219135,1.6809031013064906,1.161367811595564,1.1572904634010277,0.9944910817668781,0.9905512038331646,0.9901096348510513
73,0,anomaly,Hydraulic group,265,192,189,2.243227243423462,3.1582303047180176,3.325468628219943,sensor_5_avg_cos,sensor_5_min,power_29_std,transformer_temp_spread,sensor_51_delta,hydraulic_vs_ambient,sensor_5_avg,sensor_41_avg,sensor_25_avg,wind_speed_3_std,3.325468628219943,2.8381340394894248,2.522889932191547,1.8756144872602938,1.5916158792813586,1.51239095358605,1.4612380814410197,1.449640308142496,1.375528660988713,1.1521606412848964
0,0,anomaly,Generator bearing failure,390,311,304,2.665295124053955,4.419600486755371,2.613324529824637,sensor_33_avg,sensor_5_avg_cos,hydraulic_vs_ambient,power_29_std,sensor_41_avg,sensor_5_min,transformer_temp_spread,sensor_32_avg,sensor_44_delta,generator_bearing_temp_gap,2.613324529824637,2.120884447614286,1.5939624582544034,1.5736271121252825,1.5593410636693514,1.4636174393718382,1.4392906800184089,1.2927109541651463,1.1911295632781915,1.1815804680295194
22,21,anomaly,Hydraulic group,121,121,47,1.879141926765442,2.966691732406616,2.2330687200651096,sensor_5_min,sensor_5_avg_cos,sensor_19_avg,sensor_5_avg,sensor_42_avg_sin,sensor_10_avg,sensor_2_avg_cos,sensor_50_reset_flag,stator_winding_temp_spread,sensor_45_reset_flag,2.2330687200651096,1.4782283735480268,1.408457842924182,1.2373644782819095,0.8101118614570048,0.8039480989325525,0.8021303615329278,0.787520892774449,0.7775646066875241,0.7594470777394515
26,0,anomaly,Hydraulic group,217,169,76,2.0243918895721436,3.0228347778320312,2.224587844736627,sensor_5_min,sensor_5_avg_cos,sensor_5_avg,inverter_temp_spread,sensor_13_avg,sensor_14_avg,stator_winding_temp_spread,nacelle_vs_ambient,sensor_11_avg,sensor_45_reset_flag,2.224587844736627,1.4828155869033746,1.2460288425618367,0.96318987328931,0.958385587791326,0.8117972984099284,0.7499677668339279,0.7432889285042756,0.7378766136982163,0.719942858669351
68,11,anomaly,Transformer failure,312,289,283,2.424792766571045,2.959425687789917,1.7923610563604966,sensor_2_avg_cos,sensor_31_max,sensor_22_avg,reactive_power_28_min,sensor_5_avg_cos,reactive_share,sensor_44_delta,sensor_47_delta,reactive_power_27_std,sensor_42_avg_sin,1.7923610563604966,1.497743727936579,1.4819403784365053,1.3995001063172492,1.3279352094802,1.3086892697734387,1.2396377651073958,1.2373205185522496,1.2097358609799902,1.2031173697037862
45,13,anomaly,Hydraulic group,193,144,80,1.9422603845596313,2.986931562423706,1.7169493050272722,wind_speed_3_avg,sensor_5_min,sensor_7_avg,sensor_37_avg,sensor_25_avg,sensor_5_avg,sensor_45_reset_flag,nacelle_vs_ambient,current_phase_imbalance,sensor_43_avg,1.7169493050272722,1.6245615175966204,1.249514752947426,1.1443495627515357,1.0941577750323868,0.9367954181587217,0.8844219383213328,0.8746850047743769,0.8117397572670728,0.7949564995806266
84,13,anomaly,Hydraulic group,164,139,111,2.054527521133423,2.7001848220825195,1.0109283352925773,sensor_11_avg,nacelle_vs_ambient,sensor_18_std,sensor_39_avg,sensor_52_std,sensor_33_avg,sensor_12_avg,sensor_7_avg,sensor_21_avg,sensor_13_avg,1.0109283352925773,0.9909492681898788,0.946415888556816,0.8927858271904442,0.8422430117878662,0.8166603371896024,0.8123326312398825,0.8058335844128385,0.7933241904419708,0.7785442359764881
72,21,anomaly,Gearbox failure,313,192,109,1.8581513166427612,2.493413209915161,0.9350506250771446,power_29_std,sensor_5_avg_cos,wind_speed_3_std,sensor_0_avg,sensor_37_avg,sensor_7_avg,sensor_45_reset_flag,stator_winding_temp_spread,sensor_10_avg,transformer_temp_spread,0.9350506250771446,0.9221968118541922,0.7994691722848263,0.7826838421558455,0.7616651706536725,0.7476840746284402,0.7332148122552561,0.7151759871703599,0.6977105834157001,0.6751090927619483
69,11,normal,,409,0,314,2.1565818786621094,3.3197357654571533,2.057021023209755,sensor_5_min,sensor_5_avg_cos,sensor_5_avg,inverter_temp_spread,voltage_phase_imbalance,sensor_18_std,sensor_22_avg,reactive_power_27_std,sensor_44_delta,sensor_7_avg,2.057021023209755,1.2189501357232002,1.0498850553045473,0.9777917628442369,0.9689124301104611,0.9439852066579115,0.9358388321791241,0.9218373781510869,0.8694476269501162,0.8627321235231625
71,0,normal,,385,0,290,2.4933362007141113,3.378028631210327,1.9762663559212739,sensor_42_avg,sensor_11_avg,sensor_42_avg_sin,sensor_12_avg,sensor_1_avg_sin,generator_bearing_temp_gap,sensor_39_avg,sensor_41_avg,sensor_1_avg,sensor_1_avg_cos,1.9762663559212739,1.900141394268914,1.8587586166521586,1.5410862634872695,1.5149042208371626,1.4271727713689297,1.3610842981951325,1.341709042509974,1.2994593772213654,1.2785112761796027
14,13,normal,,293,0,207,2.2746224403381348,3.095798969268799,1.836583495136393,sensor_42_avg,sensor_1_avg_cos,sensor_42_avg_sin,sensor_42_avg_cos,sensor_1_avg_sin,sensor_1_avg,sensor_7_avg,sensor_39_avg,sensor_2_avg,nacelle_vs_ambient,1.836583495136393,1.4112528939835853,1.384539439215537,1.298503549567906,1.1949700603291025,1.1704522125743078,0.9089736416935827,0.8828850864106051,0.8498039248928078,0.7977805969842018
17,10,normal,,393,0,307,2.307265281677246,3.235724449157715,1.6567219219652165,sensor_42_avg,sensor_42_avg_sin,sensor_1_avg_cos,sensor_47_delta,sensor_42_avg_cos,hydraulic_vs_ambient,sensor_1_avg_sin,sensor_44_delta,sensor_1_avg,sensor_22_avg,1.6567219219652165,1.50416122684768,1.3676623921962812,1.364647976667948,1.363121217063462,1.2789776046250207,1.1172746878360802,1.0988659364382947,1.074977649667489,1.0704261330714062
24,0,normal,,405,0,285,2.1785547733306885,3.2875773906707764,1.2804430668272502,sensor_41_avg,inverter_temp_spread,wind_speed_3_max,sensor_2_avg,sensor_39_avg,sensor_1_avg_cos,hydraulic_vs_ambient,sensor_31_max,sensor_42_avg_cos,sensor_5_min,1.2804430668272502,1.2681931507599287,1.0185358575556978,1.0182310596979136,0.9785751360886127,0.8658318971336719,0.8347599619805324,0.7828143069697081,0.767951745086944,0.7593234541869335
3,10,normal,,527,0,245,2.002408981323242,3.1457042694091797,1.1816189806654624,sensor_5_min,sensor_13_avg,sensor_14_avg,sensor_47_delta,sensor_1_avg_cos,sensor_42_avg_sin,sensor_44_delta,sensor_2_avg,sensor_42_avg_cos,sensor_50_reset_flag,1.1816189806654624,0.9023146386862092,0.8690024230225002,0.8274981209187807,0.819227385530324,0.7957748923008086,0.7442546435281303,0.7380264395524996,0.7259724596909116,0.7243794947796144
38,13,normal,,365,0,262,2.2307651042938232,2.880391836166382,1.0921190833361696,nacelle_vs_ambient,sensor_1_avg_cos,sensor_42_avg_cos,sensor_7_avg,sensor_12_avg,sensor_11_avg,sensor_2_avg,sensor_42_avg_sin,sensor_43_avg,sensor_39_avg,1.0921190833361696,1.0607221314611652,0.9439703988937009,0.9297784407999221,0.9125340300942368,0.9060523439539975,0.9039642781650342,0.857239945880708,0.8326542754512306,0.8225231111849085
25,11,normal,,380,0,239,1.9998626708984375,2.5320804119110107,0.990034619289267,sensor_33_avg,sensor_22_avg,inverter_temp_spread,sensor_50_reset_flag,reactive_power_27_std,sensor_1_avg_cos,sensor_2_avg_cos,generator_bearing_temp_gap,sensor_42_avg_cos,sensor_7_avg,0.990034619289267,0.8887144373046174,0.8771210595328286,0.8469009512611081,0.7914978145132846,0.744458500692807,0.7077455959447284,0.6935594835917659,0.6917359039512896,0.6865581053275
92,11,normal,,272,0,108,1.8463621139526367,2.639458417892456,0.8887682203682546,inverter_temp_spread,sensor_45_reset_flag,sensor_50_reset_flag,sensor_2_avg,reactive_power_28_min,sensor_13_avg,transformer_temp_spread,sensor_2_avg_cos,sensor_22_avg,sensor_14_avg,0.8887682203682546,0.8696848153977667,0.84218935881533,0.7893119535253956,0.7585383959374254,0.6814201407662142,0.6566274850005287,0.6513545546026652,0.64510093086066,0.6311913923090947
51,21,normal,,375,0,115,1.8275983333587646,2.383002758026123,0.7890690151476157,power_29_std,stator_winding_temp_spread,sensor_45_reset_flag,transformer_temp_spread,sensor_5_avg_cos,sensor_50_reset_flag,wind_speed_3_std,wind_speed_3_min,sensor_7_avg,sensor_18_std,0.7890690151476157,0.7610948300895563,0.7280322121880066,0.7175678727919546,0.7049116565571971,0.68726130087103,0.6774594555870308,0.6377581385980577,0.6319558163255478,0.6296440940763409
13,21,normal,,574,0,215,1.891089916229248,2.9833407402038574,0.7541383912862032,sensor_45_reset_flag,wind_speed_3_std,sensor_50_reset_flag,sensor_1_avg_cos,sensor_42_avg,sensor_25_avg,wind_speed_3_avg,stator_winding_temp_spread,sensor_39_avg,sensor_42_avg_cos,0.7541383912862032,0.7527492947292848,0.7480636433764529,0.7221665700999154,0.7199217598235632,0.6817298935116638,0.6663904230906863,0.652624430256158,0.6501658608436464,0.647061722887203
