feature,feature_index,pr_auc,roc_auc,validation_mean_mse,validation_p95_mse,normal_median_mse,anomaly_median_mse,normal_p90_mse,anomaly_p90_mse,anomaly_over_normal_median,anomaly_over_validation_p95,mean_z_gap
sensor_21_avg,13,0.5501333399865681,0.6847795252447775,0.06359182298183441,0.1252994339330291,0.05588351935148239,0.08466079831123352,0.10502955242991448,0.16214132010936774,1.5149508145549466,0.6756678434515803,0.8671461939811707
sensor_31_std,56,0.5125151104457051,0.6548548411284254,0.11185108870267868,0.318234321044216,0.06808708608150482,0.08955702185630798,0.15291947126388553,0.2601563394069673,1.3153303196996715,0.2814184892517133,0.5192778706550598
sensor_10_avg,9,0.4778784697341324,0.6496645261960556,0.07285529375076294,0.13928602220250128,0.06811994314193726,0.09065499901771545,0.13448120802640914,0.17361964285373688,1.330814171712998,0.6508549643690484,0.8002503514289856
power_29_std,71,0.46356410867311504,0.6322075567066572,0.025114836171269417,0.04895595995468852,0.017849497497081757,0.02189713716506958,0.033152713999152185,0.14461469650268602,1.2267642212901153,0.4472823571499079,0.8416922688484192
power_30_std,36,0.485131308401534,0.6292945009299129,0.01927874982357025,0.037440883868763444,0.015823541209101677,0.018937204033136368,0.027141363732516764,0.036077826470136666,1.1967733274843968,0.5057894492959737,0.5613960027694702
active_power_gap,21,0.4748058454444632,0.6130624543756114,0.08909788727760315,0.15622196601463312,0.07378117740154266,0.08668264001607895,0.12317101433873177,0.18743173182010653,1.1748610054799218,0.5548684492164149,0.7640831470489502
sensor_51_delta,63,0.4788462306519805,0.6116564961411901,0.08550968021154404,0.18444867240024557,0.06008148938417435,0.07280227541923523,0.11021455749869347,0.17263533771038073,1.2117253425005496,0.3947020841725413,0.3538266718387604
wind_speed_3_std,40,0.4651925667777175,0.607071108001021,0.028627678751945496,0.0589777014566755,0.030353885143995285,0.037479203194379807,0.05432867109775544,0.11083880662918096,1.2347411433222293,0.6354809066594719,0.7489545941352844
sensor_20_avg,11,0.4391434502135648,0.606478122958428,0.03590046241879463,0.07916021974516868,0.024755097925662994,0.03143511340022087,0.05537901371717454,0.0637213215231896,1.26984352056219,0.3971074549996992,0.7230582237243652
hydraulic_vs_ambient,66,0.45896726825394574,0.6060042710845399,0.021863164380192757,0.04668509637696502,0.025912923738360405,0.032026257365942,0.06166251786053182,0.1469994306564333,1.235917850495318,0.68600602443533,1.5376622676849365
sensor_25_avg,45,0.44825983290366905,0.6036640943433963,0.012692135758697987,0.022327191231230496,0.008867600001394749,0.010496510192751884,0.015967542305588722,0.023788616806268693,1.1836910048029776,0.47012228650013677,0.44064879417419434
sensor_12_avg,16,0.4627397143609227,0.5989459253206847,0.09028363972902298,0.1505265268845652,0.08924077451229095,0.1042189821600914,0.16001746803522113,0.3262854158878328,1.1678402731403323,0.6923628965412467,7.148521900177002
sensor_37_avg,5,0.4534642150769377,0.5989239102584827,0.07021570205688477,0.15400243730975147,0.06741909682750702,0.07940709590911865,0.12573610544204714,0.166206580400467,1.177812932352888,0.5156223323232468,0.6757822632789612
sensor_16_avg,29,0.478521705989729,0.5983096006630189,0.03057681769132614,0.07254035504294393,0.02618713490664959,0.03144591674208641,0.049553051218390466,0.07000659406185152,1.2008150126400943,0.4334954898341814,1.0378259420394897
power_30_min,41,0.4345841560731181,0.5938597148245205,0.02903483808040619,0.06682989442480564,0.01408662274479866,0.019597254693508148,0.03463912345468999,0.04772652611136438,1.3911951172819654,0.2932408447174521,0.3429306447505951
transformer_temp_spread,58,0.48662330207256743,0.5935446394785794,0.014782954007387161,0.028343886358121632,0.015901479870080948,0.018383219838142395,0.031636163219809534,0.08768399953842167,1.1560690217292708,0.648577954549796,3.259464979171753
sensor_5_avg_cos,6,0.5134397202318717,0.5923029412285574,0.0010766616323962808,0.004261839215101897,0.001317481743171811,0.0023896186612546444,0.004701714450493456,0.05854856073856354,1.8137636714911995,0.5607012701903421,14.492354393005371
sensor_33_avg,54,0.5130371307461931,0.5921896570800684,0.015601064078509808,0.040764462889561655,0.022489897906780243,0.0307023786008358,0.05046059712767602,0.17894632518291512,1.3651624865737964,0.7531652921323685,2.639214277267456
sensor_11_avg,32,0.44646856650231703,0.5896151539665213,0.02532011829316616,0.05249658388776541,0.029221948236227036,0.03725811466574669,0.06464385613799095,0.1364525824785233,1.2750040351353684,0.7097245555139804,3.839386463165283
sensor_19_avg,8,0.4581857734090672,0.5871793619921243,0.03999938443303108,0.09645422579480167,0.02598951943218708,0.03045129030942917,0.07078948318958284,0.1272688269615176,1.171675323667706,0.31570716636315915,2.5374810695648193
sensor_5_avg,14,0.4836569079522151,0.5827709473316851,0.007229675073176622,0.031071637512574163,0.006369313690811396,0.009639735333621502,0.02852815724909307,0.2572544991970062,1.5134629360301022,0.31024226932746835,8.43539047241211
