event_id,asset_id,sequence_id,event_label,event_description,window_count,positive_window_count,true_event_label,max_score,mean_score,predicted_window_count,first_predicted_anomaly_time,max_consecutive_predicted_windows,event_detected_any_window,event_detected_consecutive
0,0,event_0,anomaly,Generator bearing failure,390,311,1,95.21758270263672,24.500141143798828,141,2023-08-04 06:00:00,77,1,1
3,10,event_3,normal,,527,0,0,30.27613067626953,8.157560348510742,34,2023-04-27 03:50:00,25,1,1
10,10,event_10,anomaly,Gearbox failure,165,140,1,40.324764251708984,11.027310371398926,30,2023-10-12 23:30:00,30,1,1
13,21,event_13,normal,,574,0,0,15.541279792785645,6.964024543762207,21,2023-04-30 20:10:00,11,1,0
14,13,event_14,normal,,293,0,0,14.669760704040527,8.071112632751465,9,2023-03-07 06:50:00,9,1,0
17,10,event_17,normal,,393,0,0,18.536386489868164,9.159514427185059,31,2023-11-04 13:10:00,21,1,1
22,21,event_22,anomaly,Hydraulic group,121,121,1,17.87474250793457,7.672518253326416,6,2023-08-16 05:40:00,6,1,0
24,0,event_24,normal,,405,0,0,16.061017990112305,8.381731986999512,21,2023-04-24 15:50:00,16,1,1
25,11,event_25,normal,,380,0,0,26.299131393432617,8.00037670135498,11,2023-06-07 15:40:00,11,1,0
26,0,event_26,anomaly,Hydraulic group,217,169,1,14.019981384277344,7.6678547859191895,6,2023-10-20 02:10:00,6,1,0
38,13,event_38,normal,,365,0,0,17.994972229003906,9.120712280273438,56,2023-07-07 22:30:00,27,1,1
40,10,event_40,anomaly,Generator bearing failure,688,663,1,80.47919464111328,16.871929168701172,241,2023-12-29 13:30:00,97,1,1
42,10,event_42,anomaly,Hydraulic group,215,143,1,34.82755661010742,10.815701484680176,29,2023-09-13 10:10:00,25,1,1
45,13,event_45,anomaly,Hydraulic group,193,144,1,26.49381446838379,8.415987968444824,25,2023-04-24 14:30:00,19,1,1
51,21,event_51,normal,,375,0,0,31.963802337646484,9.872472763061523,68,2023-10-10 14:20:00,27,1,1
68,11,event_68,anomaly,Transformer failure,312,289,1,19.008676528930664,11.40810489654541,83,2023-07-30 17:10:00,40,1,1
69,11,event_69,normal,,409,0,0,18.83139991760254,9.563817024230957,39,2023-09-07 21:40:00,33,1,1
71,0,event_71,normal,,385,0,0,22.591548919677734,9.674586296081543,82,2024-01-04 21:50:00,34,1,1
72,21,event_72,anomaly,Gearbox failure,313,192,1,32.02702713012695,10.465996742248535,69,2023-10-08 13:30:00,27,1,1
73,0,event_73,anomaly,Hydraulic group,265,192,1,95.37052154541016,18.875595092773438,72,2023-06-08 18:30:00,52,1,1
84,13,event_84,anomaly,Hydraulic group,164,139,1,13.30860710144043,8.2083158493042,0,,0,0,0
92,11,event_92,normal,,272,0,0,12.750078201293945,6.592884063720703,0,,0,0,0
