event_id,asset_id,sequence_id,event_label,event_description,window_count,positive_window_count,true_event_label,max_score,mean_score,predicted_window_count,first_predicted_anomaly_time,max_consecutive_predicted_windows,event_detected_any_window,event_detected_consecutive
0,0,event_0,anomaly,Generator bearing failure,390,311,1,157.12017822265625,34.312721252441406,113,2023-08-06 04:00:00,77,1,1
3,10,event_3,normal,,527,0,0,33.490440368652344,8.563161849975586,24,2023-05-04 09:50:00,24,1,1
10,10,event_10,anomaly,Gearbox failure,165,140,1,51.20082473754883,13.451472282409668,28,2023-10-13 00:30:00,28,1,1
13,21,event_13,normal,,574,0,0,15.707024574279785,7.4531779289245605,0,,0,0,0
14,13,event_14,normal,,293,0,0,14.06557559967041,8.197150230407715,0,,0,0,0
17,10,event_17,normal,,393,0,0,19.3610782623291,9.836631774902344,16,2023-11-12 16:00:00,16,1,1
22,21,event_22,anomaly,Hydraulic group,121,121,1,17.12354850769043,7.939467906951904,1,2023-08-16 10:40:00,1,1,0
24,0,event_24,normal,,405,0,0,16.07490348815918,8.852309226989746,0,,0,0,0
25,11,event_25,normal,,380,0,0,23.575584411621094,8.29799747467041,10,2023-06-07 16:40:00,10,1,0
26,0,event_26,anomaly,Hydraulic group,217,169,1,14.934062004089355,7.918081283569336,0,,0,0,0
38,13,event_38,normal,,365,0,0,17.444580078125,9.394691467285156,9,2023-07-08 13:30:00,9,1,0
40,10,event_40,anomaly,Generator bearing failure,688,663,1,116.262939453125,17.708148956298828,195,2024-01-05 23:30:00,87,1,1
42,10,event_42,anomaly,Hydraulic group,215,143,1,41.08714294433594,11.291252136230469,27,2023-09-13 10:10:00,24,1,1
45,13,event_45,anomaly,Hydraulic group,193,144,1,22.27924346923828,8.717114448547363,6,2023-04-25 12:30:00,6,1,0
51,21,event_51,normal,,375,0,0,55.33957290649414,10.821784019470215,39,2023-10-10 19:20:00,26,1,1
68,11,event_68,anomaly,Transformer failure,312,289,1,19.057273864746094,11.84499454498291,22,2023-07-30 19:10:00,22,1,1
69,11,event_69,normal,,409,0,0,17.581932067871094,9.828897476196289,6,2023-09-11 07:40:00,5,1,0
71,0,event_71,normal,,385,0,0,21.260976791381836,10.092278480529785,35,2024-01-05 06:50:00,24,1,1
72,21,event_72,anomaly,Gearbox failure,313,192,1,55.360565185546875,11.599504470825195,39,2023-10-08 19:30:00,26,1,1
73,0,event_73,anomaly,Hydraulic group,265,192,1,127.62168884277344,23.283008575439453,51,2023-06-15 18:30:00,51,1,1
84,13,event_84,anomaly,Hydraulic group,164,139,1,14.360013961791992,8.561338424682617,0,,0,0,0
92,11,event_92,normal,,272,0,0,13.18941879272461,7.285545825958252,0,,0,0,0
