event_id,asset_id,sequence_id,event_label,event_description,window_count,positive_window_count,true_event_label,max_score,mean_score,predicted_window_count,first_predicted_anomaly_time,max_consecutive_predicted_windows,event_detected_any_window,event_detected_consecutive
0,0,event_0,anomaly,Generator bearing failure,390,311,1,150.38905334472656,33.212223052978516,101,2023-08-09 16:00:00,76,1,1
3,10,event_3,normal,,527,0,0,28.035722732543945,8.604521751403809,21,2023-05-04 10:50:00,21,1,1
10,10,event_10,anomaly,Gearbox failure,165,140,1,52.9591178894043,13.601396560668945,26,2023-10-13 01:30:00,26,1,1
13,21,event_13,normal,,574,0,0,15.787227630615234,7.6254730224609375,0,,0,0,0
14,13,event_14,normal,,293,0,0,13.86642074584961,8.296056747436523,0,,0,0,0
17,10,event_17,normal,,393,0,0,17.849328994750977,9.662875175476074,0,,0,0,0
22,21,event_22,anomaly,Hydraulic group,121,121,1,17.128700256347656,8.644205093383789,0,,0,0,0
24,0,event_24,normal,,405,0,0,16.179691314697266,8.712640762329102,0,,0,0,0
25,11,event_25,normal,,380,0,0,28.0798397064209,8.526935577392578,4,2023-06-07 16:40:00,4,1,0
26,0,event_26,anomaly,Hydraulic group,217,169,1,14.348207473754883,7.831061363220215,0,,0,0,0
38,13,event_38,normal,,365,0,0,17.562164306640625,9.667913436889648,0,,0,0,0
40,10,event_40,anomaly,Generator bearing failure,688,663,1,109.54347229003906,17.522491455078125,143,2024-01-06 00:30:00,39,1,1
42,10,event_42,anomaly,Hydraulic group,215,143,1,47.274452209472656,11.123197555541992,3,2023-09-13 10:10:00,3,1,0
45,13,event_45,anomaly,Hydraulic group,193,144,1,22.793996810913086,8.603686332702637,0,,0,0,0
51,21,event_51,normal,,375,0,0,59.46445846557617,11.523409843444824,25,2023-10-18 10:20:00,25,1,1
68,11,event_68,anomaly,Transformer failure,312,289,1,18.542945861816406,11.858800888061523,0,,0,0,0
69,11,event_69,normal,,409,0,0,17.59211540222168,10.105671882629395,0,,0,0,0
71,0,event_71,normal,,385,0,0,21.639760971069336,10.235955238342285,0,,0,0,0
72,21,event_72,anomaly,Gearbox failure,313,192,1,59.46242904663086,12.3379487991333,25,2023-10-16 10:30:00,25,1,1
73,0,event_73,anomaly,Hydraulic group,265,192,1,124.01974487304688,23.079835891723633,50,2023-06-15 19:30:00,50,1,1
84,13,event_84,anomaly,Hydraulic group,164,139,1,16.363920211791992,9.017647743225098,0,,0,0,0
92,11,event_92,normal,,272,0,0,12.996248245239258,8.068747520446777,0,,0,0,0
