event_id,asset_id,sequence_id,event_label,event_description,window_count,positive_window_count,true_event_label,max_score,mean_score,predicted_window_count,first_predicted_anomaly_time,max_consecutive_predicted_windows,event_detected_any_window,event_detected_consecutive
0,0,event_0,anomaly,Generator bearing failure,390,311,1,150.38905,33.212219385641035,151,2023-08-04 06:00:00,77,1,1
3,10,event_3,normal,,527,0,0,28.035723,8.604521398861479,42,2023-04-27 05:50:00,25,1,1
10,10,event_10,anomaly,Gearbox failure,165,140,1,52.959118,13.601397277575757,30,2023-10-12 23:30:00,30,1,1
13,21,event_13,normal,,574,0,0,15.787228,7.6254722939024395,30,2023-04-30 17:10:00,15,1,1
14,13,event_14,normal,,293,0,0,13.866421,8.296056488395903,0,,0,0,0
17,10,event_17,normal,,393,0,0,17.849329,9.662875687531807,34,2023-11-04 09:10:00,22,1,1
22,21,event_22,anomaly,Hydraulic group,121,121,1,17.1287,8.644206047107438,6,2023-08-16 05:40:00,6,1,0
24,0,event_24,normal,,405,0,0,16.179691,8.712640714074073,24,2023-04-25 05:50:00,22,1,1
25,11,event_25,normal,,380,0,0,28.07984,8.526935228421053,11,2023-06-07 15:40:00,11,1,0
26,0,event_26,anomaly,Hydraulic group,217,169,1,14.348207,7.831061603225805,4,2023-10-20 10:10:00,4,1,0
38,13,event_38,normal,,365,0,0,17.562164,9.667913297260274,54,2023-07-08 06:30:00,26,1,1
40,10,event_40,anomaly,Generator bearing failure,688,663,1,109.54347,17.522491265697678,256,2023-12-28 10:50:00,98,1,1
42,10,event_42,anomaly,Hydraulic group,215,143,1,47.274452,11.123198383255815,29,2023-09-13 10:10:00,25,1,1
45,13,event_45,anomaly,Hydraulic group,193,144,1,22.793997,8.603686396891192,29,2023-04-24 09:30:00,23,1,1
51,21,event_51,normal,,375,0,0,59.46446,11.523411033066669,69,2023-10-10 13:20:00,26,1,1
68,11,event_68,anomaly,Transformer failure,312,289,1,18.542946,11.858800417948718,98,2023-07-30 17:10:00,30,1,1
69,11,event_69,normal,,409,0,0,17.592115,10.105672184352079,43,2023-09-07 20:40:00,34,1,1
71,0,event_71,normal,,385,0,0,21.639761,10.235955186493506,89,2024-01-04 21:50:00,37,1,1
72,21,event_72,anomaly,Gearbox failure,313,192,1,59.46243,12.337948739936103,70,2023-10-08 12:30:00,26,1,1
73,0,event_73,anomaly,Hydraulic group,265,192,1,124.019745,23.079836199245282,75,2023-06-08 11:30:00,51,1,1
84,13,event_84,anomaly,Hydraulic group,164,139,1,16.36392,9.017648640243904,2,2023-09-12 13:40:00,2,1,0
92,11,event_92,normal,,272,0,0,12.996248,8.068747675735294,0,,0,0,0
